trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-01-04T14:48:00+00:00,SHORT,SL,-1.0,0.0225,-1.0225
N/A,2016-01-05T12:18:00+00:00,SHORT,SL,-1.0,0.0549,-1.0549
N/A,2016-01-06T12:54:00+00:00,SHORT,TP,1.4,0.0272,1.3728
N/A,2016-01-07T19:33:00+00:00,SHORT,TP,1.4,0.0284,1.3716
N/A,2016-01-08T16:03:00+00:00,SHORT,SL,-1.0,0.018,-1.018
N/A,2016-01-11T12:21:00+00:00,SHORT,SL,-1.0,0.0269,-1.0269
N/A,2016-01-12T15:03:00+00:00,SHORT,SL,-1.0,0.0236,-1.0236
N/A,2016-01-13T12:51:00+00:00,SHORT,TP,1.4,0.0459,1.3541
N/A,2016-01-14T12:03:00+00:00,SHORT,SL,-1.0,0.0254,-1.0254
N/A,2016-01-15T16:51:00+00:00,SHORT,TP,1.4,0.0314,1.3686
N/A,2016-01-18T18:24:00+00:00,SHORT,TP,1.4,0.0442,1.3558
N/A,2016-01-19T14:06:00+00:00,SHORT,TP,1.4,0.041,1.359
N/A,2016-01-20T12:36:00+00:00,SHORT,TP,1.4,0.0329,1.3671
N/A,2016-01-22T15:33:00+00:00,SHORT,TP,1.4,0.0316,1.3684
N/A,2016-01-25T12:45:00+00:00,SHORT,TP,1.4,0.0667,1.3333
N/A,2016-01-26T13:57:00+00:00,SHORT,SL,-1.0,0.0292,-1.0292
N/A,2016-01-27T13:15:00+00:00,SHORT,TIME_EXIT,0.4444,0.0397,0.4048
N/A,2016-01-28T12:12:00+00:00,SHORT,SL,-1.0,0.0385,-1.0385
N/A,2016-01-29T13:06:00+00:00,SHORT,SL,-1.0,0.045,-1.045
