trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2015-12-01T15:36:00+00:00,SHORT,SL,-1.0,0.0303,-1.0303
N/A,2015-12-02T14:03:00+00:00,SHORT,TP,1.4,0.0282,1.3718
N/A,2015-12-03T12:36:00+00:00,SHORT,TP,1.4,0.006,1.394
N/A,2015-12-04T12:27:00+00:00,SHORT,SL,-1.0,0.0595,-1.0595
N/A,2015-12-07T15:03:00+00:00,SHORT,TP,1.4,0.0391,1.3609
N/A,2015-12-08T13:12:00+00:00,SHORT,TP,1.4,0.035,1.365
N/A,2015-12-09T13:15:00+00:00,SHORT,TP,1.4,0.0439,1.3561
N/A,2015-12-14T13:12:00+00:00,SHORT,TP,1.4,0.0237,1.3763
N/A,2015-12-16T14:18:00+00:00,SHORT,SL,-1.0,0.0463,-1.0463
N/A,2015-12-18T20:00:00+00:00,SHORT,SL,-1.0,0.1923,-1.1923
N/A,2015-12-21T13:12:00+00:00,SHORT,TP,1.4,0.0365,1.3635
N/A,2015-12-22T13:12:00+00:00,SHORT,TP,1.4,0.0376,1.3624
N/A,2015-12-23T13:00:00+00:00,SHORT,SL,-1.0,0.1,-1.1
N/A,2015-12-24T12:45:00+00:00,SHORT,TP,1.4,0.0327,1.3673
N/A,2015-12-28T14:03:00+00:00,SHORT,TP,1.4,0.082,1.318
N/A,2015-12-29T13:12:00+00:00,SHORT,SL,-1.0,0.0219,-1.0219
N/A,2015-12-30T13:51:00+00:00,SHORT,TP,1.4,0.0244,1.3756
N/A,2015-12-31T15:12:00+00:00,SHORT,SL,-1.0,0.0234,-1.0234
