trade_id,entry_time,direction,entry_price,final_outcome,final_r,be_hit
2509,2025-11-03 15:00:00,LONG,1.15196,TIME_EXIT,-0.8163,True
2510,2025-11-05 13:03:00,LONG,1.14932,SL,-1.0,False
2511,2025-11-06 18:06:00,LONG,1.15445,TIME_EXIT,-0.6094,True
2512,2025-11-07 12:36:00,SHORT,1.15555,SL,-1.0,False
2513,2025-11-10 15:30:00,SHORT,1.15536,TIME_EXIT,-0.1127,True
2514,2025-11-11 13:00:00,LONG,1.15749,TP,1.4,True
2515,2025-11-13 15:27:00,LONG,1.16311,TP,1.4,True
2516,2025-11-14 16:00:00,LONG,1.16154,TIME_EXIT,0.1731,True
2517,2025-11-17 12:03:00,LONG,1.16035,SL,-1.0,False
2518,2025-11-18 15:00:00,LONG,1.1604,SL,-1.0,False
2519,2025-11-19 16:18:00,SHORT,1.15365,TP,1.4,True
2520,2025-11-20 14:27:00,LONG,1.15442,SL,-1.0,False
2521,2025-11-21 12:09:00,LONG,1.15087,BE,0.0,True
2522,2025-11-24 15:33:00,LONG,1.15254,BE,0.0,True
2523,2025-11-25 12:21:00,LONG,1.1532,TP,1.4,True
2524,2025-11-26 13:33:00,SHORT,1.15617,BE,0.0,True
2525,2025-11-28 13:03:00,SHORT,1.15633,SL,-1.0,False
