trade_id,entry_time,direction,entry_price,final_outcome,final_r,be_hit
191,2015-11-02 12:12:00,SHORT,1.10116,TIME_EXIT,-0.0755,False
192,2015-11-03 14:36:00,SHORT,1.09538,TIME_EXIT,-0.6369,True
193,2015-11-04 13:15:00,SHORT,1.09204,TIME_EXIT,3.2099,True
194,2015-11-05 14:57:00,SHORT,1.08689,TIME_EXIT,-0.5873,True
195,2015-11-09 14:24:00,SHORT,1.07311,TIME_EXIT,-0.991,False
196,2015-11-10 12:00:00,LONG,1.07319,TIME_EXIT,-0.8,True
197,2015-11-12 14:33:00,LONG,1.07623,TIME_EXIT,-1.0605,True
198,2015-11-13 15:12:00,LONG,1.07451,TIME_EXIT,-1.0355,True
199,2015-11-16 16:30:00,SHORT,1.07133,TIME_EXIT,2.3158,True
200,2015-11-17 13:09:00,LONG,1.06694,TIME_EXIT,1.3936,True
201,2015-11-19 12:09:00,SHORT,1.07087,TIME_EXIT,-0.8085,True
202,2015-11-20 14:48:00,SHORT,1.06821,TIME_EXIT,1.3146,True
203,2015-11-23 13:00:00,LONG,1.06349,TIME_EXIT,-0.0064,True
204,2015-11-24 14:18:00,SHORT,1.06548,TIME_EXIT,-0.1276,True
205,2015-11-25 15:06:00,LONG,1.05877,TIME_EXIT,-1.5242,True
206,2015-11-30 17:18:00,SHORT,1.05596,TIME_EXIT,-1.0098,False
