trade_id,entry_time,direction,entry_price,final_outcome,final_r,be_hit
172,2015-10-01 11:24:00,LONG,1.11533,TP,1.4,True
173,2015-10-02 12:30:00,LONG,1.1247,TIME_EXIT,-0.4052,True
174,2015-10-05 11:15:00,SHORT,1.12306,TP,1.4,True
175,2015-10-06 13:00:00,SHORT,1.12142,BE,0.0,True
176,2015-10-08 17:00:00,LONG,1.12872,BE,0.0,True
177,2015-10-09 11:24:00,SHORT,1.13577,BE,0.0,True
178,2015-10-12 11:33:00,LONG,1.13756,SL,-1.0,False
179,2015-10-13 12:00:00,SHORT,1.13724,TIME_EXIT,-0.3673,True
180,2015-10-14 13:21:00,SHORT,1.14362,TP,1.4,True
181,2015-10-15 13:15:00,SHORT,1.1373,BE,0.0,True
182,2015-10-16 13:33:00,LONG,1.13863,SL,-1.0,False
183,2015-10-19 15:27:00,LONG,1.1324,TIME_EXIT,0.247,True
184,2015-10-22 16:51:00,LONG,1.11384,SL,-1.0,False
185,2015-10-23 12:12:00,SHORT,1.10838,TP,1.4,True
186,2015-10-26 12:12:00,LONG,1.10249,SL,-1.0,False
187,2015-10-27 12:00:00,SHORT,1.10578,TIME_EXIT,0.9398,True
188,2015-10-28 12:27:00,LONG,1.10726,BE,0.0,True
189,2015-10-29 15:00:00,SHORT,1.09595,SL,-1.0,False
190,2015-10-30 11:09:00,LONG,1.10177,BE,0.0,True
