trade_id,entry_time,direction,entry_price,final_outcome,final_r,be_hit
0,2015-01-02 12:09:00,SHORT,1.20425,TP,1.4,True
1,2015-01-05 12:33:00,SHORT,1.18913,SL,-1.0,False
2,2015-01-06 12:48:00,LONG,1.18984,TP,1.4,True
3,2015-01-08 12:48:00,LONG,1.17686,TP,1.4,True
4,2015-01-09 13:30:00,SHORT,1.17766,SL,-1.0,False
5,2015-01-12 13:00:00,LONG,1.17941,TP,1.4,True
6,2015-01-13 13:30:00,SHORT,1.17771,BE,0.0,True
7,2015-01-15 21:00:00,SHORT,1.16152,SL,-1.0,False
8,2015-01-16 15:09:00,SHORT,1.1527,TP,1.4,True
9,2015-01-19 15:15:00,LONG,1.16283,BE,0.0,True
10,2015-01-20 17:30:00,SHORT,1.15558,TIME_EXIT,0.0692,True
11,2015-01-22 12:27:00,LONG,1.16384,SL,-1.0,False
12,2015-01-26 16:03:00,LONG,1.12665,TP,1.4,True
13,2015-01-27 15:33:00,LONG,1.13837,BE,0.0,True
14,2015-01-29 15:24:00,LONG,1.13572,SL,-1.0,False
15,2015-01-30 15:36:00,SHORT,1.12974,TIME_EXIT,0.2794,True
