pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2022-01,2,1,1,-313.9482283086366,0.2338186870469419
EURUSD,2022-05,1,1,0,468.06068147631277,inf
EURUSD,2022-08,4,3,1,389.8545622805235,1.6430009996451327
EURUSD,2022-11,3,1,2,-1869.078667555932,0.08623139861988464
EURUSD,2022-12,2,1,1,-544.8914420873864,0.24890778120399795
EURUSD,2023-01,4,3,1,-64.96124026906949,0.8877892634261288
EURUSD,2023-03,1,0,1,-516.8730441075606,0.0
EURUSD,2023-04,1,0,1,-709.8568383886436,0.0
EURUSD,2023-05,1,1,0,139.20324265042032,inf
EURUSD,2023-06,1,0,1,-384.1020265931362,0.0
EURUSD,2023-07,1,0,1,-974.0285813052868,0.0
EURUSD,2023-08,1,0,1,-456.45272514609087,0.0
EURUSD,2023-09,1,0,1,-422.1725398372122,0.0
EURUSD,2023-11,2,2,0,267.66038567121996,inf
EURUSD,2023-12,1,1,0,150.67239490984093,inf
EURUSD,2024-02,1,1,0,70.36384482157294,inf
EURUSD,2024-03,1,0,1,-382.4631420930423,0.0
EURUSD,2024-05,1,1,0,10.288817231060122,inf
EURUSD,2024-06,2,0,2,-1101.2027152061567,0.0
EURUSD,2024-10,1,0,1,-387.2009378475943,0.0
EURUSD,2024-12,1,1,0,67.48981163223056,inf
EURUSD,2025-02,2,2,0,278.0768670296276,inf
EURUSD,2025-03,2,2,0,414.9084788865546,inf
EURUSD,2025-04,1,1,0,319.8330921280232,inf
EURUSD,2025-05,1,1,0,111.1631361813392,inf
EURUSD,2025-07,2,1,1,-374.5982188060972,0.16794730139268507
EURUSD,2025-09,1,1,0,111.27327090244762,inf
EURUSD,2025-11,1,1,0,33.05026606313909,inf
