pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2015-01,24,11,13,0,45.83333333333333,-5.99342480379358,-2969.704573383565,-0.24972603349139919,3.4363125731236908,0.5524190305154536
EURUSD,2015-02,4,3,1,0,75.0,1.0194487678573207,490.60894610157527,0.2548621919643302,0.5148275254901837,1.9486252677615818
