pair,year,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022,4,2,2,50.0,-0.44373840739064985,-443.7384073906498,-0.11093460184766246,1.0518316404712627,0.5812569112833835
EURUSD,2023,7,4,3,57.14285714285714,-1.506691701840488,-1506.6917018404881,-0.21524167169149827,3.3851416201327913,0.5633989756658185
EURUSD,2024,3,1,2,33.33333333333333,-2.2245926751614618,-2224.5926751614616,-0.7415308917204873,2.3119786115697925,0.03865699565377416
EURUSD,2025,9,2,7,22.22222222222222,-5.40891015378846,-5408.910153788458,-0.6009900170876067,4.553059525202502,0.07714888285657126
