candidate_name,stage,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,win_rate_pct,trades_per_month,robustness_score,whitelist_weekdays,whitelist_times,whitelist_regimes,whitelist_extensions,whitelist_directions
base,design,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,57.14285714285714,1.1666666666666667,0.17216948915499178,,,,,
base,oos,101159.7136861587,1.1597136861587032,0.5551189273248557,0.5395370747605722,3.053712225399705,6,5,1,83.33333333333334,1.0,8.670878524560605,,,,,
core_balanced_or_calm,design,99662.30849768624,-0.3376915023137528,0.7295433821118246,-0.4101523990743364,0.3273798471937266,4,3,1,75.0,1.0,0.425133502831129,,core,"balanced,calm",,
core_balanced_or_calm,oos,100877.15310108002,0.8771531010800304,0.5550322139502527,0.42740185498407485,2.5579273694095446,5,4,1,80.0,1.0,6.593195880208572,,core,"balanced,calm",,
core_only,design,99662.30849768624,-0.3376915023137528,0.7295433821118246,-0.4101523990743364,0.3273798471937266,4,3,1,75.0,1.0,0.425133502831129,,core,,,
core_only,oos,100877.15310108002,0.8771531010800304,0.5550322139502527,0.42740185498407485,2.5579273694095446,5,4,1,80.0,1.0,6.593195880208572,,core,,,
core_short_only,design,100003.86987144155,0.003869871441541939,0.0,0.6349803146555016,inf,1,1,0,100.0,1.0,16.350435862917735,,core,,,short
core_short_only,oos,100606.78303968257,0.6067830396825791,0.25712940912788323,0.6210514004999008,inf,2,2,0,100.0,1.0,16.267049286912734,,core,,,short
short_only,design,99747.93780264368,-0.2520621973563286,0.5083534533379348,-0.28007054816163873,0.5054144414995794,3,2,1,66.66666666666666,1.0,0.6269882868325865,,,,,short
short_only,oos,100606.78303968257,0.6067830396825791,0.25712940912788323,0.6210514004999008,inf,2,2,0,100.0,1.0,16.267049286912734,,,,,short
wed_thu_fri_core,design,99662.30849768624,-0.3376915023137528,0.7295433821118246,-0.4101523990743364,0.3273798471937266,4,3,1,75.0,1.0,0.425133502831129,"wed_thu,fri",core,,,
wed_thu_fri_core,oos,100959.05986266251,0.9590598626625146,0.2932470422366721,0.7658745507507694,inf,3,3,0,100.0,1.0,17.775975924293224,"wed_thu,fri",core,,,
wed_thu_fri_core_balanced_or_calm,design,99662.30849768624,-0.3376915023137528,0.7295433821118246,-0.4101523990743364,0.3273798471937266,4,3,1,75.0,1.0,0.425133502831129,"wed_thu,fri",core,"balanced,calm",,
wed_thu_fri_core_balanced_or_calm,oos,100959.05986266251,0.9590598626625146,0.2932470422366721,0.7658745507507694,inf,3,3,0,100.0,1.0,17.775975924293224,"wed_thu,fri",core,"balanced,calm",,
