config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0123,25,0.37,0,0.0,-13.4
V49_7B_0124,31,0.82,0,0.0,-4.19
V49_7B_0125,26,0.94,0,0.0,-1.34
V49_7B_0126,50,0.56,0,0.0,-19.75
V49_7B_0127,57,0.63,0,0.0,-17.45
V49_7B_0128,42,0.72,0,0.0,-10.29
V49_7B_0129,35,0.34,0,0.0,-21.89
V49_7B_0130,34,0.45,0,0.0,-17.03
V49_7B_0131,67,0.63,0,0.0,-18.29
V49_7B_0132,66,0.77,0,0.0,-11.63
V49_7B_0133,59,0.63,0,0.0,-16.02
V49_7B_0134,54,0.72,0,0.0,-10.71
V49_7B_0135,53,0.57,0,0.0,-17.52
V49_7B_0136,49,0.98,0,0.0,-0.75
V49_7B_0137,53,0.72,0,0.0,-10.41
V49_7B_0138,37,0.79,0,0.0,-6.54
V49_7B_0139,45,0.49,0,0.0,-18.77
V49_7B_0140,23,0.62,0,0.0,-7.3
V49_7B_0141,87,0.54,0,0.0,-32.4
V49_7B_0142,96,0.67,0,0.0,-22.47
V49_7B_0143,59,0.63,0,0.0,-17.56
V49_7B_0144,31,0.4,0,0.0,-16.36
V49_7B_0145,57,0.57,0,0.0,-18.84
V49_7B_0146,28,0.58,0,0.0,-9.21
V49_7B_0147,77,0.52,0,0.0,-29.35
V49_7B_0148,73,0.89,0,0.0,-5.79
V49_7B_0149,35,0.49,0,0.0,-14.13
V49_7B_0150,23,0.48,0,0.0,-9.46
V49_7B_0151,87,0.61,0,0.0,-25.27
V49_7B_0152,57,0.57,0,0.0,-18.63
V49_7B_0153,25,0.6,0,0.0,-8.38
V49_7B_0154,38,0.74,0,0.0,-7.8
V49_7B_0155,63,0.65,0,0.0,-17.83
V49_7B_0156,54,0.91,0,0.0,-3.7
V49_7B_0157,80,0.58,0,0.0,-25.56
V49_7B_0158,37,0.48,0,0.0,-16.22
V49_7B_0159,24,0.38,0,0.0,-13.44
V49_7B_0160,41,1.14,0,0.0,4.22
V49_7B_0161,35,0.44,0,0.0,-17.42
V49_7B_0162,38,0.56,0,0.0,-14.27
V49_7B_0163,91,0.52,0,0.0,-38.63
V49_7B_0164,50,0.51,0,0.0,-19.75
V49_7B_0165,53,0.58,0,0.0,-17.86
V49_7B_0166,44,0.7,0,0.0,-11.14
V49_7B_0167,45,0.51,0,0.0,-19.21
V49_7B_0168,47,0.78,0,0.0,-7.8
V49_7B_0169,46,0.69,0,0.0,-9.99
V49_7B_0170,43,0.77,0,0.0,-8.31
