pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,short,2022-01-04 11:05:00-05:00,2022-01-04 11:05:00-05:00,1.13089,1.1311977119869283,3249792,-999.999953423891,-1147.0262444181594,-1.1470262444181594,147.0262909942685,stop_loss,fast_indicator_combo,,bb_stoch
EURUSD,long,2022-01-04 14:20:00-05:00,2022-01-04 14:20:00-05:00,1.12851,1.1286165038533005,5633598,599.9998949464233,345.68502778932435,0.34568502778932436,254.31486715709894,take_profit,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-04 17:10:00-05:00,2022-01-04 17:15:00-05:00,1.12831,1.1284359048087012,7942508,-999.999950347966,-1358.4843984061729,-1.358484398406173,358.4844480582069,stop_loss,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-06 17:10:00-05:00,2022-01-06 17:30:00-05:00,1.1295600000000001,1.1296695073252596,9131809,-999.999978370581,-1412.6170253317484,-1.4126170253317485,412.6170469611675,stop_loss,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-11 14:30:00-05:00,2022-01-11 14:30:00-05:00,1.13682,1.1367108453358412,5496787,599.9999389370631,350.05764304224186,0.35005764304224185,249.94229589482126,take_profit,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-12 15:10:00-05:00,2022-01-12 15:10:00-05:00,1.1446,1.1447634847304382,6116779,-999.9999659647118,-1280.070575700031,-1.280070575700031,280.0706097353193,stop_loss,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-13 17:50:00-05:00,2022-01-13 18:00:00-05:00,1.14548,1.1455715784855773,10919595,-999.9999732172569,-1500.3470804407211,-1.500347080440721,500.3471072234644,stop_loss,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-17 12:30:00-05:00,2022-01-17 12:30:00-05:00,1.14103,1.1409148844224453,5212152,599.9998877830162,362.1230159183719,0.36212301591837187,237.87687186464433,take_profit,fast_indicator_combo,,bb_stoch
EURUSD,short,2022-01-17 16:05:00-05:00,2022-01-17 16:05:00-05:00,1.14062,1.1405873305214411,18365766,599.9999985537532,-237.92240204307575,-0.23792240204307574,837.922400596829,take_profit,fast_indicator_combo,,bb_stoch
EURUSD,long,2022-01-19 16:35:00-05:00,2022-01-19 16:35:00-05:00,1.13479,1.1346705878465406,8374356,-999.9998837951593,-1380.1053016070834,-1.3801053016070834,380.1054178119241,stop_loss,fast_indicator_combo,,bb_stoch
