family,h1_adx_threshold,m15_ema_period,stop_atr_multiple,take_profit_rr,score,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
trend_pullback,18.0,20,0.8,0.8,-172.13601307601107,100000.0,68848.21678483418,-31.151783215165818,32.33286602881723,-2.4005647391393716,0.5129166526775588,207,102,105,0,49.275362318840585,8.625,0.16666666666666666,-1297.9909672985843,-150.49170635345905,13.91304347826087,10.0,6,8
trend_pullback,18.0,14,0.8,0.8,-176.62077269178263,100000.0,68062.84789799235,-31.937152102007648,33.105190729268955,-2.463831529649429,0.5086380723606617,212,104,108,0,49.056603773584904,8.833333333333334,0.16666666666666666,-1330.7146709169892,-150.64694387739505,13.985849056603774,10.0,6,8
trend_pullback,16.0,20,0.8,0.8,-193.1238449787511,100000.0,64518.716241731454,-35.481283758268546,36.05107372296468,-2.6721529527953645,0.4995597256237455,235,115,120,0,48.93617021276596,9.791666666666666,0.125,-1478.3868232611896,-150.98418620539812,13.851063829787234,10.0,6,9
trend_pullback,16.0,14,0.8,0.8,-199.10310920991887,100000.0,63450.58024731687,-36.549419752683136,37.109369391672,-2.7591745879533325,0.49465947266749916,242,118,124,0,48.760330578512395,10.083333333333334,0.125,-1522.8924896951257,-151.03066013505375,13.946280991735538,10.0,6,9
