pair,year,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2022,1,1,0,754.9446201628851,inf
EURUSD,2023,1,0,1,-1004.2416669997727,0.0
EURUSD,2024,2,1,1,-361.5774312159432,0.6585441179382259
EURUSD,2025,4,2,2,160.5631142374017,1.1580623118836435
