family_id,config_id,parameters
F12,F12_RERUN_0001,"{'news_buffer_mins': 15, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0002,"{'news_buffer_mins': 15, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0003,"{'news_buffer_mins': 16, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0004,"{'news_buffer_mins': 17, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0005,"{'news_buffer_mins': 18, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0006,"{'news_buffer_mins': 19, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0007,"{'news_buffer_mins': 20, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0008,"{'news_buffer_mins': 21, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0009,"{'news_buffer_mins': 22, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0010,"{'news_buffer_mins': 23, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0011,"{'news_buffer_mins': 24, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0012,"{'news_buffer_mins': 25, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
F12,F12_RERUN_0013,"{'news_buffer_mins': 26, 'impact_filter': 'HIGH', 'tp_pips': 15, 'sl_pips': 10, 'trail_pips': 5}"
