variante,max_trades_day,sample,pf,expectancy,wr,dd,max_streak,trades_month,veredicto
TP1.2_2T,2,4473,2.6,0.255,35.9,-6.19,15,33.0,SUBE_FRECUENCIA_PERO_NO_REEMPLAZA_AUTORIDAD
TP1.3_2T,2,4458,2.62,0.26,33.9,-6.49,16,32.9,SUBE_FRECUENCIA_PERO_NO_REEMPLAZA_AUTORIDAD
BF60_2T,2,4912,2.76,0.275,32.4,-7.0,21,36.2,SUBE_FRECUENCIA_PERO_NO_REEMPLAZA_AUTORIDAD
TP1.2_BF60_2T,2,4936,2.69,0.262,36.0,-7.0,15,36.4,SUBE_FRECUENCIA_PERO_NO_REEMPLAZA_AUTORIDAD
2TRADES,2,4450,2.64,0.263,32.0,-6.39,17,32.8,SUBE_FRECUENCIA_PF_DD_EMPEORAN
SECOND_TRADE_BE_EARLY_ONLY,2 condicionado,3377,2.663,0.269,32.13,-6.061,13,24.9,IMPROVES_STREAK_WITH_ACCEPTABLE_COST
PHASE25_BASELINE,1,2625,2.793,0.2809,32.53,-5.584,14,19.36,AUTORIDAD_SE_MANTIENE
