Outcome,Cantidad,% total,R promedio,R total
BE,1329,50.63,0.0,0.0
FORCED_CLOSE,100,3.81,0.1107,11.074
SL,395,15.05,-1.0,-395.0
TP,801,30.51,1.4,1121.4
