Hora NY,trades,TP,BE,SL,FORCED_CLOSE,pf,expectancy_r,winrate_r_positive_pct,max_drawdown_r,total_r,veredicto
7,829,261,425,138,5,2.647,0.2756,31.97,-8.0,228.508,FUERTE
8,562,156,306,83,17,2.658,0.2502,29.89,-6.6,140.597,FUERTE
9,468,167,232,55,14,4.229,0.3879,37.61,-2.0,181.522,FUERTE
10,373,117,172,56,28,2.801,0.2938,34.58,-4.0,109.571,FUERTE
11,142,43,66,20,13,2.659,0.276,33.8,-3.591,39.188,FUERTE
12,91,18,49,16,8,1.463,0.0913,21.98,-4.494,8.306,DEBIL
13,63,18,33,9,3,2.933,0.2787,31.75,-2.0,17.56,FUERTE
14,54,11,26,9,8,1.959,0.1658,33.33,-3.0,8.955,OK
15,31,9,11,7,4,1.443,0.1247,29.03,-4.934,3.866,DEBIL
16,12,1,9,2,0,0.7,-0.05,8.33,-1.0,-0.6,MUESTRA_BAJA
