Year,trades,TP,BE,SL,FORCED_CLOSE,pf,expectancy_r,winrate_r_positive_pct,max_drawdown_r,total_r,veredicto
2015,225,70,115,32,8,2.989,0.2978,33.33,-4.995,67.001,FUERTE
2016,241,73,132,27,9,3.706,0.3133,33.2,-2.9,75.517,FUERTE
2017,222,66,115,35,6,2.629,0.2653,31.53,-4.28,58.903,FUERTE
2018,232,75,111,39,7,2.718,0.2913,34.48,-4.0,67.572,FUERTE
2019,221,69,106,38,8,2.517,0.2697,33.03,-5.584,59.605,FUERTE
2020,229,72,116,34,7,2.834,0.2877,31.88,-4.458,65.875,FUERTE
2021,232,73,113,33,13,3.034,0.3071,34.91,-4.366,71.241,FUERTE
2022,238,78,125,30,5,3.557,0.3316,34.03,-3.0,78.93,FUERTE
2023,232,68,117,33,14,2.671,0.2644,31.03,-3.472,61.352,FUERTE
2024,238,71,116,37,14,2.725,0.2793,33.19,-4.0,66.485,FUERTE
2025,237,62,121,48,6,1.824,0.1688,27.43,-5.0,40.009,OK
2026,78,24,42,9,3,3.687,0.3203,32.05,-2.257,24.985,FUERTE
