tipo_racha,largo,fecha_inicio,fecha_fin,r_total,tp,be,sl,forced_close,grupo
BE_CONSECUTIVOS,10,2015-04-20,2015-05-01,0.0,0,10,0,0,MAXIMOS
NON_WIN_CONSECUTIVOS,14,2019-12-20,2020-01-15,-3.661,0,9,3,2,MAXIMOS
PERDIDA_MONETARIA_CONSECUTIVA,4,2019-08-22,2019-08-27,-4.0,0,0,4,0,MAXIMOS
RACHA_PSICOLOGICA_SIN_TP,19,2021-04-12,2021-05-14,-3.911,0,12,5,2,MAXIMOS
SL_PUROS_CONSECUTIVOS,4,2019-08-22,2019-08-27,-4.0,0,0,4,0,MAXIMOS
TP_CONSECUTIVOS,8,2024-06-25,2024-07-04,11.2,8,0,0,0,MAXIMOS
NON_WIN_CONSECUTIVOS,11,2025-02-12,2025-02-26,-5.0,0,6,5,0,TOP_10_PEORES
RACHA_PSICOLOGICA_SIN_TP,11,2025-02-12,2025-02-26,-5.0,0,6,5,0,TOP_10_PEORES
NON_WIN_CONSECUTIVOS,8,2020-09-11,2020-09-22,-4.458,0,3,4,1,TOP_10_PEORES
RACHA_PSICOLOGICA_SIN_TP,8,2020-09-11,2020-09-22,-4.458,0,3,4,1,TOP_10_PEORES
RACHA_PSICOLOGICA_SIN_TP,12,2017-04-27,2017-05-16,-4.28,0,6,5,1,TOP_10_PEORES
NON_WIN_CONSECUTIVOS,10,2018-09-27,2018-10-15,-4.0,0,6,4,0,TOP_10_PEORES
RACHA_PSICOLOGICA_SIN_TP,10,2018-09-27,2018-10-15,-4.0,0,6,4,0,TOP_10_PEORES
NON_WIN_CONSECUTIVOS,8,2017-04-27,2017-05-09,-4.0,0,4,4,0,TOP_10_PEORES
NON_WIN_CONSECUTIVOS,7,2019-08-22,2019-09-03,-4.0,0,3,4,0,TOP_10_PEORES
NON_WIN_CONSECUTIVOS,7,2024-04-11,2024-04-19,-4.0,0,3,4,0,TOP_10_PEORES
TP_CONSECUTIVOS,8,2024-06-25,2024-07-04,11.2,8,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,5,2026-01-21,2026-01-27,7.0,5,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2015-05-21,2015-05-27,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2015-06-26,2015-07-01,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2016-01-04,2016-01-07,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2017-06-15,2017-06-20,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2020-05-21,2020-05-27,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2021-12-22,2021-12-27,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,4,2026-03-26,2026-03-31,5.6,4,0,0,0,TOP_10_MEJORES
TP_CONSECUTIVOS,3,2015-06-08,2015-06-10,4.2,3,0,0,0,TOP_10_MEJORES
