trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2015-08-03T13:09:00+00:00,SHORT,TP,1.4,0.0307,1.3693
N/A,2015-08-04T17:24:00+00:00,SHORT,SL,-1.0,0.0442,-1.0442
N/A,2015-08-05T14:00:00+00:00,SHORT,SL,-1.0,0.0155,-1.0155
N/A,2015-08-06T16:06:00+00:00,SHORT,TP,1.4,0.0431,1.3569
N/A,2015-08-07T14:24:00+00:00,SHORT,TP,1.4,0.0272,1.3728
N/A,2015-08-10T11:15:00+00:00,SHORT,TP,1.4,0.0221,1.3779
N/A,2015-08-11T12:12:00+00:00,SHORT,TP,1.4,0.0218,1.3782
N/A,2015-08-12T13:24:00+00:00,SHORT,TP,1.4,0.0196,1.3804
N/A,2015-08-13T11:06:00+00:00,SHORT,TP,1.4,0.0227,1.3773
N/A,2015-08-14T14:30:00+00:00,SHORT,SL,-1.0,0.0312,-1.0312
N/A,2015-08-17T11:21:00+00:00,SHORT,TP,1.4,0.0532,1.3468
N/A,2015-08-18T11:09:00+00:00,SHORT,TP,1.4,0.0694,1.3306
N/A,2015-08-19T12:27:00+00:00,SHORT,TP,1.4,0.0179,1.3821
N/A,2015-08-20T11:12:00+00:00,SHORT,TP,1.4,0.0435,1.3565
N/A,2015-08-24T11:21:00+00:00,SHORT,SL,-1.0,0.0083,-1.0083
N/A,2015-08-26T12:03:00+00:00,SHORT,SL,-1.0,0.0455,-1.0455
N/A,2015-08-27T13:45:00+00:00,SHORT,TP,1.4,0.0186,1.3814
N/A,2015-08-28T14:00:00+00:00,SHORT,SL,-1.0,0.0292,-1.0292
N/A,2015-08-31T16:15:00+00:00,SHORT,TP,1.4,0.0316,1.3684
