cost_profile,trades,pf,expectancy,total_return_pct,max_dd_pct
base,28,0.7121637291725192,-0.1470424338328489,-2.465917001180218,3.5606532797681085
conservative,28,0.653379491385636,-0.17764200128343782,-2.8656068624560826,3.8342166836126568
stress,28,0.6069886871073222,-0.20183250050549847,-3.1806338357483477,4.050204679195242
