pair,year,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020,9,4,5,44.44444444444444,-2.3869263909149665,-2386.9263909149663,-0.26521404343499627,2.2010828297481324,0.3412262512987389
EURUSD,2021,9,5,4,55.55555555555556,-2.4955426753624605,-2495.5426753624606,-0.2772825194847178,1.6113816954324713,0.1241785409785656
