pair,year,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022,2,1,1,-499.71617038612743,0.4405002355764308
USDCAD,2023,1,0,1,-1121.0350671362942,0.0
USDCAD,2024,1,0,1,-546.1984958046057,0.0
