config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V49_7B_0001,ASIA_HL,08:00-11:00,1.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0002,ASIA_HL,07:00-10:00,1.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0003,LONDON_HL,09:00-12:00,2.0,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0004,ASIA_HL,08:00-11:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0005,ASIA_HL,08:00-11:00,1.8,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0006,ASIA_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0007,LONDON_HL,07:00-10:00,1.8,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0008,ASIA_HL,08:00-11:00,2.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0009,LONDON_HL,07:00-10:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0010,LONDON_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0011,LONDON_HL,07:00-10:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0012,ASIA_HL,07:00-10:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0013,ASIA_HL,08:00-11:00,1.8,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0014,LONDON_HL,09:00-12:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0015,ASIA_HL,08:00-11:00,1.5,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0016,LONDON_HL,09:00-12:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0017,ASIA_HL,07:00-10:00,2.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0018,LONDON_HL,07:00-10:00,1.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0019,ASIA_HL,08:00-11:00,2.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0020,LONDON_HL,07:00-10:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0021,LONDON_HL,09:00-12:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0022,ASIA_HL,08:00-11:00,1.8,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0023,ASIA_HL,08:00-11:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0024,LONDON_HL,09:00-12:00,2.5,3,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0025,LONDON_HL,09:00-12:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0026,ASIA_HL,09:00-12:00,2.2,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0027,LONDON_HL,07:00-10:00,3.0,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0028,ASIA_HL,07:00-10:00,2.2,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7B_0029,LONDON_HL,07:00-10:00,1.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0030,ASIA_HL,09:00-12:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0031,LONDON_HL,08:00-11:00,2.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0032,LONDON_HL,07:00-10:00,2.2,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0033,ASIA_HL,07:00-10:00,2.2,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0034,ASIA_HL,08:00-11:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0035,ASIA_HL,08:00-11:00,1.8,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0036,ASIA_HL,07:00-10:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0037,ASIA_HL,08:00-11:00,2.5,3,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0038,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0039,LONDON_HL,08:00-11:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0040,ASIA_HL,09:00-12:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0041,LONDON_HL,09:00-12:00,2.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0042,ASIA_HL,07:00-10:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0043,ASIA_HL,09:00-12:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0044,LONDON_HL,07:00-10:00,3.0,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0045,ASIA_HL,07:00-10:00,1.5,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0046,LONDON_HL,09:00-12:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0047,ASIA_HL,07:00-10:00,1.8,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0048,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.0R
V49_7B_0049,ASIA_HL,08:00-11:00,2.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7B_0050,ASIA_HL,08:00-11:00,2.2,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7B_0051,LONDON_HL,07:00-10:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7B_0052,ASIA_HL,09:00-12:00,2.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0053,ASIA_HL,08:00-11:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7B_0054,ASIA_HL,08:00-11:00,2.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0055,ASIA_HL,07:00-10:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7B_0056,ASIA_HL,09:00-12:00,2.2,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7B_0057,ASIA_HL,09:00-12:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7B_0058,LONDON_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
