config_id,phase,entry_time,exit_time,entry_price,exit_price,direction,pnl_net_r,slippage
V49_7B_0004,TRAIN,2020-03-20 14:33:00+00:00,2020-03-20 14:41:32.784000+00:00,1.07349,1.07187,LONG,-1.0432,0.2
V49_7B_0004,TRAIN,2020-03-24 12:03:00+00:00,2020-03-24 12:08:35.849000+00:00,1.08618,1.08358,SHORT,1.9462,0.2
V49_7B_0004,TRAIN,2020-03-25 13:00:00+00:00,2020-03-25 13:13:03.597000+00:00,1.08199,1.08325,SHORT,-1.0556,0.2
V49_7B_0004,TRAIN,2020-03-25 13:06:00+00:00,2020-03-25 13:12:57.583000+00:00,1.08214,1.08322,SHORT,-1.0648,0.2
V49_7B_0005,TRAIN,2020-03-20 12:24:00+00:00,2020-03-19 16:27:58.502000+00:00,1.08035,1.068295,LONG,-1.0058,0.2
V49_7B_0005,TRAIN,2020-03-20 14:33:00+00:00,2020-03-19 14:09:04.997000+00:00,1.08034,1.06875,LONG,0.994,0.2
V49_7B_0006,TRAIN,2020-03-09 11:12:00+00:00,2020-03-06 21:00:00.018000+00:00,1.13397,1.13065,SHORT,0.2479,0.2
V49_7B_0006,TRAIN,2020-03-11 11:09:00+00:00,2020-03-09 20:00:00.020000+00:00,1.14188,1.14519,LONG,0.2335,0.2
V49_7B_0006,TRAIN,2020-03-20 11:09:00+00:00,2020-03-18 20:00:00.015000+00:00,1.09723,1.08984,LONG,-0.2028,0.2
V49_7B_0006,TRAIN,2020-03-24 11:21:00+00:00,2020-03-19 20:00:00.106000+00:00,1.08034,1.06793,SHORT,1.1769,0.2
V49_7B_0007,TRAIN,2020-03-02 14:12:00+00:00,2020-03-02 14:15:45.752000+00:00,1.11118,1.112015,SHORT,-1.0838,0.2
V49_7B_0007,TRAIN,2020-03-17 11:36:00+00:00,2020-03-13 20:00:00.045000+00:00,1.11428,1.11136,LONG,-0.1716,0.2
V49_7B_0007,TRAIN,2020-03-19 13:54:00+00:00,2020-03-18 20:00:00.015000+00:00,1.09723,1.08984,LONG,-0.2667,0.2
V49_7B_0007,TRAIN,2020-03-19 13:57:00+00:00,2020-03-18 20:00:00.015000+00:00,1.09672,1.08984,LONG,-0.2587,0.2
V49_7B_0007,TRAIN,2020-03-20 13:03:00+00:00,2020-03-19 14:03:02.903000+00:00,1.08009,1.065575,LONG,0.9952,0.2
V49_7B_0007,TRAIN,2020-03-30 11:42:00+00:00,2020-03-26 20:00:00.647000+00:00,1.09571,1.10534,LONG,0.6446,0.2
V49_7B_0007,TRAIN,2020-03-30 11:48:00+00:00,2020-03-26 14:30:00.132000+00:00,1.09715,1.08514,LONG,0.9942,0.2
V49_7B_0008,TRAIN,2020-03-09 12:00:00+00:00,2020-03-06 21:00:00.018000+00:00,1.13397,1.13065,SHORT,0.2418,0.2
V49_7B_0008,TRAIN,2020-03-09 13:54:00+00:00,2020-03-06 14:48:00.257000+00:00,1.13397,1.128525,LONG,0.9871,0.2
V49_7B_0008,TRAIN,2020-03-25 13:06:00+00:00,2020-03-19 14:00:00.191000+00:00,1.08047,1.083785,SHORT,0.9789,0.2
V49_7B_0009,TRAIN,2020-03-02 14:12:00+00:00,2020-03-02 14:25:46.370000+00:00,1.11118,1.11216,SHORT,-1.0714,0.2
V49_7B_0009,TRAIN,2020-03-17 11:36:00+00:00,2020-03-13 20:00:00.045000+00:00,1.11428,1.11136,LONG,-0.1294,0.2
V49_7B_0009,TRAIN,2020-03-19 13:54:00+00:00,2020-03-18 20:00:00.015000+00:00,1.09723,1.08984,LONG,-0.2008,0.2
