config_id,phase,slippage,net_r
V49_7B_0001,TRAIN,0.2,-0.0294
V49_7B_0001,TRAIN,0.3,-0.0441
V49_7B_0001,TRAIN,0.5,-0.0735
V49_7B_0001,TRAIN,0.2,-1.0636
V49_7B_0001,TRAIN,0.3,-1.0727
V49_7B_0001,TRAIN,0.5,-1.0909
V49_7B_0001,TRAIN,0.2,0.6059
V49_7B_0001,TRAIN,0.3,0.6044
V49_7B_0001,TRAIN,0.5,0.6015
V49_7B_0001,TRAIN,0.2,-1.0357
V49_7B_0001,TRAIN,0.3,-1.0408
V49_7B_0001,TRAIN,0.5,-1.051
V49_7B_0001,TRAIN,0.2,1.9653
V49_7B_0001,TRAIN,0.3,1.9604
V49_7B_0001,TRAIN,0.5,1.9505
V49_7B_0001,TRAIN,0.2,-0.0122
V49_7B_0001,TRAIN,0.3,-0.0183
V49_7B_0001,TRAIN,0.5,-0.0305
V49_7B_0001,TRAIN,0.2,-0.0074
V49_7B_0001,TRAIN,0.3,-0.0111
V49_7B_0001,TRAIN,0.5,-0.0185
V49_7B_0001,TRAIN,0.2,1.9407
V49_7B_0001,TRAIN,0.3,1.9322
V49_7B_0001,TRAIN,0.5,1.9153
V49_7B_0001,TRAIN,0.2,-1.0432
V49_7B_0001,TRAIN,0.3,-1.0494
V49_7B_0001,TRAIN,0.5,-1.0617
V49_7B_0001,TRAIN,0.2,1.9462
V49_7B_0001,TRAIN,0.3,1.9385
V49_7B_0001,TRAIN,0.5,1.9231
V49_7B_0001,TRAIN,0.2,-1.0556
V49_7B_0001,TRAIN,0.3,-1.0635
V49_7B_0001,TRAIN,0.5,-1.0794
V49_7B_0001,TRAIN,0.2,-1.0648
V49_7B_0001,TRAIN,0.3,-1.0741
V49_7B_0001,TRAIN,0.5,-1.0926
V49_7B_0002,TRAIN,0.2,1.3971
V49_7B_0002,TRAIN,0.3,1.3824
V49_7B_0002,TRAIN,0.5,1.3529
V49_7B_0002,TRAIN,0.2,-1.0795
V49_7B_0002,TRAIN,0.3,-1.0909
V49_7B_0002,TRAIN,0.5,-1.1136
V49_7B_0002,TRAIN,0.2,0.6059
V49_7B_0002,TRAIN,0.3,0.6044
V49_7B_0002,TRAIN,0.5,0.6015
V49_7B_0002,TRAIN,0.2,1.4407
V49_7B_0002,TRAIN,0.3,1.4322
V49_7B_0002,TRAIN,0.5,1.4153
V49_7B_0002,TRAIN,0.2,1.3871
V49_7B_0002,TRAIN,0.3,1.371
V49_7B_0002,TRAIN,0.5,1.3387
V49_7B_0002,TRAIN,0.2,-1.0556
V49_7B_0002,TRAIN,0.3,-1.0635
V49_7B_0002,TRAIN,0.5,-1.0794
V49_7B_0002,TRAIN,0.2,-1.0648
V49_7B_0002,TRAIN,0.3,-1.0741
V49_7B_0002,TRAIN,0.5,-1.0926
V49_7B_0003,TRAIN,0.2,-1.0714
V49_7B_0003,TRAIN,0.3,-1.0816
