config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0127,57,0.66,0,0.0,-13.52
V49_7B_0128,19,4.63,0,0.0,9.37
V49_7B_0129,13,3.15,0,0.0,3.6
V49_7B_0130,13,3.13,0,0.0,3.58
V49_7B_0131,21,10.03,0,0.0,14.09
V49_7B_0132,66,0.6,0,0.0,-17.8
V49_7B_0133,23,2.99,0,0.0,9.28
V49_7B_0134,54,0.72,0,0.0,-10.71
V49_7B_0135,26,2.29,0,0.0,5.84
V49_7B_0136,49,1.11,0,0.0,3.45
V49_7B_0137,53,0.72,0,0.0,-10.41
V49_7B_0138,16,3.09,0,0.0,4.61
V49_7B_0139,29,1.69,0,0.0,6.92
V49_7B_0140,11,27.1,0,0.0,6.84
V49_7B_0141,32,2.77,0,0.0,10.74
V49_7B_0142,33,2.45,0,0.0,7.98
V49_7B_0143,27,1.93,0,0.0,5.15
V49_7B_0144,14,37.12,0,0.0,9.46
V49_7B_0145,14,8.97,0,0.0,10.13
V49_7B_0146,12,3.32,0,0.0,3.73
V49_7B_0147,29,2.95,0,0.0,11.24
V49_7B_0148,73,0.86,0,0.0,-6.59
V49_7B_0149,35,0.49,0,0.0,-14.13
V49_7B_0150,11,21.07,0,0.0,6.93
V49_7B_0151,32,3.02,0,0.0,12.22
V49_7B_0152,15,9.31,0,0.0,10.47
V49_7B_0153,10,3.19,0,0.0,2.83
V49_7B_0154,13,4.3,0,0.0,4.79
V49_7B_0155,25,5.84,0,0.0,13.34
V49_7B_0156,54,0.86,0,0.0,-4.84
V49_7B_0157,26,2.18,0,0.0,8.99
V49_7B_0158,14,3.24,0,0.0,3.75
V49_7B_0159,9,1.97,0,0.0,1.54
V49_7B_0160,41,1.16,0,0.0,3.87
V49_7B_0161,13,3.46,0,0.0,3.7
V49_7B_0162,14,4.09,0,0.0,4.72
V49_7B_0163,91,0.56,0,0.0,-26.93
V49_7B_0164,33,1.82,0,0.0,8.96
V49_7B_0165,26,4.0,0,0.0,7.24
V49_7B_0166,19,3.0,0,0.0,7.02
V49_7B_0167,29,1.46,0,0.0,4.57
V49_7B_0168,18,9.22,0,0.0,11.78
V49_7B_0169,11,6.72,0,0.0,6.58
V49_7B_0170,30,2.83,0,0.0,8.43
V49_7B_0171,20,4.37,0,0.0,7.44
V49_7B_0172,23,3.75,0,0.0,10.06
V49_7B_0173,24,3.48,0,0.0,10.87
V49_7B_0174,56,0.64,0,0.0,-14.97
V49_7B_0175,23,2.04,0,0.0,5.16
V49_7B_0176,23,3.11,0,0.0,7.79
V49_7B_0177,20,9.64,0,0.0,12.47
V49_7B_0178,57,0.82,0,0.0,-7.02
V49_7B_0179,11,91.76,0,0.0,7.42
V49_7B_0180,14,27.75,0,0.0,9.24
V49_7B_0181,25,2.91,0,0.0,10.9
V49_7B_0182,23,4.36,0,0.0,9.83
V49_7B_0183,22,4.83,0,0.0,11.87
V49_7B_0184,21,2.7,0,0.0,7.87
V49_7B_0185,21,4.51,0,0.0,10.87
V49_7B_0186,15,3.89,0,0.0,4.82
V49_7B_0187,31,1.14,0,0.0,1.25
V49_7B_0188,30,2.28,0,0.0,10.04
V49_7B_0189,22,4.8,0,0.0,11.88
V49_7B_0190,39,1.59,0,0.0,6.18
V49_7B_0191,14,3.26,0,0.0,3.77
V49_7B_0192,58,0.42,0,0.0,-23.73
V49_7B_0193,11,91.76,0,0.0,7.42
V49_7B_0194,24,3.01,0,0.0,8.4
V49_7B_0195,33,2.45,0,0.0,10.07
V49_7B_0196,10,2.99,0,0.0,2.77
V49_7B_0197,7,62.08,0,0.0,5.0
V49_7B_0198,35,0.41,0,0.0,-17.51
V49_7B_0199,14,5.66,0,0.0,6.98
V49_7B_0200,14,9.49,0,0.0,10.22
V49_7B_0201,66,0.82,0,0.0,-8.15
V49_7B_0202,19,4.37,0,0.0,10.14
V49_7B_0203,56,0.73,0,0.0,-8.62
V49_7B_0204,10,89.51,0,0.0,7.02
V49_7B_0205,31,2.75,0,0.0,12.0
V49_7B_0206,15,2.82,0,0.0,4.53
V49_7B_0207,14,3.25,0,0.0,3.6
V49_7B_0208,13,3.42,0,0.0,3.73
V49_7B_0209,14,28.33,0,0.0,9.44
V49_7B_0210,21,4.35,0,0.0,10.37
V49_7B_0211,15,5.22,0,0.0,6.83
V49_7B_0212,20,3.84,0,0.0,8.07
V49_7B_0213,26,2.38,0,0.0,6.2
V49_7B_0214,10,3.19,0,0.0,2.86
V49_7B_0215,77,0.57,0,0.0,-24.77
V49_7B_0216,18,9.86,0,0.0,11.83
V49_7B_0217,19,4.79,0,0.0,9.42
V49_7B_0218,21,3.1,0,0.0,5.34
V49_7B_0219,10,87.33,0,0.0,6.85
V49_7B_0220,12,118.89,0,0.0,9.64
V49_7B_0221,33,3.15,0,0.0,9.55
V49_7B_0222,27,2.69,0,0.0,7.44
V49_7B_0223,21,2.7,0,0.0,5.04
V49_7B_0224,20,4.93,0,0.0,9.75
V49_7B_0225,19,4.54,0,0.0,10.64
V49_7B_0226,19,4.23,0,0.0,7.2
V49_7B_0227,20,4.01,0,0.0,8.57
V49_7B_0228,9,5.01,0,0.0,4.61
V49_7B_0229,15,5.35,0,0.0,6.91
V49_7B_0230,27,3.68,0,0.0,13.05
V49_7B_0231,14,3.05,0,0.0,5.68
V49_7B_0232,15,4.93,0,0.0,6.73
V49_7B_0233,53,0.66,0,0.0,-12.6
V49_7B_0234,12,3.35,0,0.0,3.73
V49_7B_0235,41,1.07,0,0.0,1.77
V49_7B_0236,23,2.09,0,0.0,5.39
V49_7B_0237,20,9.73,0,0.0,13.75
V49_7B_0238,7,70.92,0,0.0,5.54
V49_7B_0239,34,3.45,0,0.0,12.05
V49_7B_0240,11,6.92,0,0.0,6.53
V49_7B_0241,12,159.77,0,0.0,9.73
V49_7B_0242,7,91.95,0,0.0,5.58
V49_7B_0243,21,3.37,0,0.0,9.66
V49_7B_0244,20,2.32,0,0.0,5.5
V49_7B_0245,31,3.52,0,0.0,15.17
V49_7B_0246,27,1.91,0,0.0,5.07
V49_7B_0247,13,24.72,0,0.0,8.28
V49_7B_0248,19,3.67,0,0.0,7.38
V49_7B_0249,19,4.72,0,0.0,7.35
V49_7B_0250,60,0.74,0,0.0,-9.18
V49_7B_0251,12,3.31,0,0.0,3.72
V49_7B_0252,11,5.18,0,0.0,5.82
V49_7B_0253,18,2.29,0,0.0,5.24
V49_7B_0254,11,20.95,0,0.0,6.97
V49_7B_0255,27,1.91,0,0.0,5.07
V49_7B_0256,11,4.38,0,0.0,4.63
V49_7B_0257,65,0.68,0,0.0,-15.1
V49_7B_0258,27,1.91,0,0.0,5.03
V49_7B_0259,14,3.71,0,0.0,4.62
V49_7B_0260,41,1.03,0,0.0,0.62
V49_7B_0261,73,0.67,0,0.0,-17.49
V49_7B_0262,9,5.01,0,0.0,4.61
V49_7B_0263,18,2.31,0,0.0,5.29
V49_7B_0264,12,159.77,0,0.0,9.73
V49_7B_0265,20,2.9,0,0.0,5.24
V49_7B_0266,22,5.27,0,0.0,13.38
V49_7B_0267,18,8.73,0,0.0,10.54
V49_7B_0268,21,3.7,0,0.0,7.57
V49_7B_0269,11,6.92,0,0.0,6.53
V49_7B_0270,64,0.44,0,0.0,-30.0
V49_7B_0271,113,0.55,0,0.0,-36.05
V49_7B_0272,11,6.72,0,0.0,6.58
V49_7B_0273,13,3.95,0,0.0,4.72
V49_7B_0274,33,1.6,0,0.0,4.63
V49_7B_0275,15,3.87,0,0.0,4.8
V49_7B_0276,21,4.38,0,0.0,10.39
V49_7B_0277,11,6.52,0,0.0,6.54
V49_7B_0278,14,3.25,0,0.0,3.6
V49_7B_0279,30,3.02,0,0.0,8.28
V49_7B_0280,14,35.63,0,0.0,9.07
V49_7B_0281,26,2.35,0,0.0,6.14
V49_7B_0282,14,3.71,0,0.0,4.62
V49_7B_0283,65,0.69,0,0.0,-13.57
V49_7B_0284,13,3.7,0,0.0,3.79
V49_7B_0285,26,2.29,0,0.0,5.84
V49_7B_0286,27,2.79,0,0.0,7.69
V49_7B_0287,14,3.08,0,0.0,3.55
V49_7B_0288,18,1.35,0,0.0,2.56
V49_7B_0289,33,2.45,0,0.0,10.49
V49_7B_0290,25,2.63,0,0.0,7.15
V49_7B_0291,14,3.36,0,0.0,6.29
V49_7B_0292,12,3.35,0,0.0,3.73
V49_7B_0293,33,1.73,0,0.0,7.31
V49_7B_0294,19,3.09,0,0.0,8.66
V49_7B_0295,38,2.5,0,0.0,11.28
V49_7B_0296,20,3.28,0,0.0,8.0
V49_7B_0297,64,0.62,0,0.0,-17.81
V49_7B_0298,7,86.6,0,0.0,5.25
V49_7B_0299,24,3.4,0,0.0,9.42
V49_7B_0300,25,1.12,0,0.0,1.02
V49_7B_0301,32,3.62,0,0.0,13.54
V49_7B_0302,25,2.82,0,0.0,8.37
V49_7B_0303,12,3.36,0,0.0,3.74
V49_7B_0304,33,1.56,0,0.0,4.38
V49_7B_0305,7,91.95,0,0.0,5.58
V49_7B_0306,23,5.11,0,0.0,11.35
V49_7B_0307,11,101.47,0,0.0,7.97
V49_7B_0308,11,4.06,0,0.0,4.52
V49_7B_0309,18,0.82,0,0.0,-1.36
V49_7B_0310,35,0.66,0,0.0,-8.35
V49_7B_0311,11,5.23,0,0.0,5.83
V49_7B_0312,18,1.36,0,0.0,2.63
V49_7B_0313,19,2.14,0,0.0,6.06
V49_7B_0314,76,0.66,0,0.0,-18.96
V49_7B_0315,49,0.65,0,0.0,-12.67
V49_7B_0316,28,2.84,0,0.0,10.63
V49_7B_0317,19,8.97,0,0.0,10.87
V49_7B_0318,20,2.59,0,0.0,6.29
V49_7B_0319,23,2.04,0,0.0,5.16
V49_7B_0320,87,0.54,0,0.0,-27.49
V49_7B_0321,24,1.88,0,0.0,4.58
V49_7B_0322,23,2.11,0,0.0,5.48
V49_7B_0323,14,3.73,0,0.0,4.63
V49_7B_0324,30,1.63,0,0.0,4.62
V49_7B_0325,22,9.81,0,0.0,15.15
V49_7B_0326,13,24.87,0,0.0,8.25
V49_7B_0327,11,6.92,0,0.0,6.53
V49_7B_0328,18,2.44,0,0.0,7.33
V49_7B_0329,15,4.23,0,0.0,4.86
V49_7B_0330,58,0.57,0,0.0,-17.67
V49_7B_0331,26,4.81,0,0.0,14.96
V49_7B_0332,24,3.45,0,0.0,9.53
V49_7B_0333,26,2.35,0,0.0,6.14
V49_7B_0334,11,124.46,0,0.0,7.57
V49_7B_0335,14,1.8,0,0.0,3.59
V49_7B_0336,15,3.26,0,0.0,5.88
V49_7B_0337,11,3.54,0,0.0,3.82
V49_7B_0338,41,0.71,0,0.0,-8.81
V49_7B_0339,26,2.28,0,0.0,7.55
V49_7B_0340,12,3.31,0,0.0,3.72
V49_7B_0341,64,0.55,0,0.0,-20.85
