pair,year,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020,163,85,78,-19143.22207346683,0.41936205701152973
GBPUSD,2020,161,80,81,-22501.751859405857,0.40341127676646243
USDJPY,2020,172,85,87,-26074.96493809371,0.3164885499482774
