pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
EURUSD,short,2020-01-02 18:40:00-05:00,2020-01-02 18:45:00-05:00,1.11704,1.11711,1790000,-125.30000000002595,-205.28257000002594,-1.0067895834025402,79.98257000000001,session_close
EURUSD,short,2020-01-03 12:40:00-05:00,2020-01-03 12:55:00-05:00,1.11691,1.1172809105495118,1786000,-662.4462414280239,-742.2515407528525,-1.219071596106123,79.80529932482857,stop_loss
USDJPY,short,2020-01-06 13:00:00-05:00,2020-01-06 13:05:00-05:00,108.34349999999999,108.37513051838339,1981000,-578.1354725141849,-657.3754725141849,-1.2782985755519458,79.24000000000001,stop_loss
GBPUSD,short,2020-01-06 13:55:00-05:00,2020-01-06 14:00:00-05:00,1.31602,1.3158176590413346,1495000,302.4997332046786,223.8077871993427,0.3706452420812839,78.69194600533591,take_profit
EURUSD,short,2020-01-07 15:40:00-05:00,2020-01-07 15:50:00-05:00,1.11435,1.114279346285357,1769000,124.98642120324854,46.137514931672605,0.15547043331519989,78.84890627157594,take_profit
USDJPY,long,2020-01-08 11:05:00-05:00,2020-01-08 11:10:00-05:00,108.6885,108.70945712119777,1973000,380.299101624223,301.37910162422304,0.4073066981766527,78.92,take_profit
USDJPY,long,2020-01-09 12:50:00-05:00,2020-01-09 12:55:00-05:00,109.4805,109.49104451127906,1979000,190.5802805720902,111.42028057209018,0.26331647134623104,79.16000000000001,take_profit
GBPUSD,short,2020-01-09 16:15:00-05:00,2020-01-09 16:40:00-05:00,1.30626,1.3065437510922773,1516000,-430.1666558923802,-509.3868656254981,-1.3784847655859878,79.22020973311785,stop_loss
USDJPY,long,2020-01-10 12:00:00-05:00,2020-01-10 12:05:00-05:00,109.5055,109.4699373710766,1971000,-640.2267165498148,-719.0667165498147,-1.246180165204508,78.84,stop_loss
EURUSD,short,2020-01-10 13:20:00-05:00,2020-01-10 14:05:00-05:00,1.11192,1.11178858415242,1760000,231.2918917408524,153.0173495786872,0.323171524483357,78.27454216216518,take_profit
