trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
2567,2026-02-02T13:00:00+00:00,2026-02-02T13:05:12.367000,SHORT,BE_STOP,0.0,-0.0532,0.0532
2568,2026-02-04T15:21:00+00:00,2026-02-04T15:56:03.950000,SHORT,TP,1.4,1.3569,0.0431
2569,2026-02-05T13:24:00+00:00,2026-02-05T13:33:44.370000,LONG,BE_STOP,0.0,-0.0431,0.0431
2570,2026-02-06T14:00:00+00:00,2026-02-06T14:04:52.433000,LONG,BE_STOP,0.0,-0.1282,0.1282
2571,2026-02-09T12:00:00+00:00,2026-02-09T12:32:09.308000,LONG,BE_STOP,0.0,-0.0862,0.0862
2572,2026-02-10T12:33:00+00:00,2026-02-10T12:46:05.889000,SHORT,TP,1.4,1.3254,0.0746
2573,2026-02-11T13:15:00+00:00,2026-02-11T13:30:01.238000,SHORT,TP,1.4,1.3367,0.0633
2574,2026-02-12T16:12:00+00:00,2026-02-12T17:16:12.407000,SHORT,BE_STOP,0.0,-0.023,0.023
2575,2026-02-13T15:45:00+00:00,2026-02-13T16:14:06.392000,SHORT,BE_STOP,0.0,-0.0345,0.0345
2576,2026-02-16T12:15:00+00:00,2026-02-16T12:55:48.861000,SHORT,TP,1.4,1.3107,0.0893
2577,2026-02-17T15:00:00+00:00,2026-02-17T16:06:29.962000,SHORT,BE_STOP,0.0,-0.0526,0.0526
2578,2026-02-18T13:21:00+00:00,2026-02-18T13:50:35.910000,SHORT,TP,1.4,1.339,0.061
2579,2026-02-19T13:00:00+00:00,2026-02-19T13:09:08.296000,SHORT,TP,1.4,1.3219,0.0781
2580,2026-02-20T17:48:00+00:00,2026-02-20T18:35:32.413000,LONG,BE_STOP,0.0,-0.0284,0.0284
2581,2026-02-23T12:51:00+00:00,2026-02-23T13:32:39.088000,LONG,TP,1.4,1.3451,0.0549
2582,2026-02-24T15:30:00+00:00,2026-02-24T18:46:58.702000,LONG,BE_STOP,0.0,-0.037,0.037
2583,2026-02-25T17:54:00+00:00,2026-02-25T19:09:55.852000,SHORT,BE_STOP,0.0,-0.0685,0.0685
2584,2026-02-26T15:57:00+00:00,2026-02-26T17:21:45.644000,LONG,SL,-1.0,-1.0258,0.0258
2585,2026-02-27T13:33:00+00:00,2026-02-27T13:45:42.187000,SHORT,BE_STOP,0.0,-0.0467,0.0467
