trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
445,2016-12-01T14:15:00+00:00,2016-12-01T14:48:35.491000,SHORT,TP,1.4,1.359,0.041
446,2016-12-02T12:42:00+00:00,2016-12-02T12:51:51.222000,SHORT,BE_STOP,0.0,-0.0521,0.0521
447,2016-12-05T14:00:00+00:00,2016-12-05T14:13:14.862000,LONG,TP,1.4,1.3524,0.0476
448,2016-12-06T14:09:00+00:00,2016-12-06T15:28:34.730000,SHORT,SL,-1.0,-1.027,0.027
449,2016-12-07T14:15:00+00:00,2016-12-07T14:21:27.020000,LONG,BE_STOP,0.0,-0.0658,0.0658
450,2016-12-08T12:03:00+00:00,2016-12-08T12:45:45.386000,LONG,TP,1.4,1.3891,0.0109
451,2016-12-09T17:36:00+00:00,2016-12-09T19:39:00.763000,LONG,BE_STOP,0.0,-0.0368,0.0368
452,2016-12-12T14:57:00+00:00,2016-12-12T15:27:34.745000,SHORT,BE_STOP,0.0,-0.0312,0.0312
453,2016-12-13T16:57:00+00:00,2016-12-13T23:30:28.880000,SHORT,BE_STOP,0.0,-0.0148,0.0148
454,2016-12-14T17:54:00+00:00,2016-12-14T18:59:36.231000,SHORT,BE_STOP,0.0,-0.0289,0.0289
455,2016-12-16T14:15:00+00:00,2016-12-16T14:36:53.517000,SHORT,BE_STOP,0.0,-0.0208,0.0208
456,2016-12-19T14:00:00+00:00,2016-12-19T14:02:59.543000,LONG,BE_STOP,0.0,-0.1613,0.1613
457,2016-12-20T12:15:00+00:00,2016-12-20T13:54:30.128000,SHORT,BE_STOP,0.0,-0.0345,0.0345
458,2016-12-21T12:03:00+00:00,2016-12-21T16:29:13.730000,LONG,BE_STOP,0.0,-0.0249,0.0249
459,2016-12-22T15:48:00+00:00,2016-12-22T17:11:40.708000,SHORT,TP,1.4,1.3785,0.0215
460,2016-12-23T15:03:00+00:00,2016-12-23T15:52:09.984000,LONG,TP,1.4,1.3485,0.0515
461,2016-12-26T15:33:00+00:00,2016-12-27T00:44:59.966000,SHORT,TIME_EXIT,0.0309,0.0,0.0309
462,2016-12-27T16:15:00+00:00,2016-12-27T17:57:15.587000,LONG,SL,-1.0,-1.0575,0.0575
463,2016-12-28T12:09:00+00:00,2016-12-28T15:01:49.538000,SHORT,TP,1.4,1.364,0.036
464,2016-12-29T16:42:00+00:00,2016-12-29T18:33:57.100000,SHORT,BE_STOP,0.0,-0.037,0.037
465,2016-12-30T19:30:00+00:00,2016-12-30T19:44:50.826000,LONG,BE_STOP,0.0,-0.0769,0.0769
