config_id,N_train,PF_train,N_val,PF_val
V49_B3_0028,25,0.86,20,1.42
V49_B3_0029,28,0.93,20,0.52
V49_B3_0030,29,1.0,23,0.67
V49_B3_0031,26,0.46,15,0.51
V49_B3_0032,24,0.42,15,0.41
V49_B3_0033,20,0.68,12,0.3
V49_B3_0034,29,0.8,23,0.58
V49_B3_0035,32,0.59,24,0.55
V49_B3_0036,20,0.24,21,0.64
V49_B3_0037,26,0.6,14,0.57
V49_B3_0038,32,0.56,25,0.62
V49_B3_0039,30,0.45,20,0.38
V49_B3_0040,31,0.77,24,0.73
V49_B3_0041,22,0.49,11,0.0
V49_B3_0042,31,0.47,34,0.63
V49_B3_0043,25,1.07,20,0.47
V49_B3_0044,26,0.79,26,0.4
V49_B3_0045,32,0.75,26,1.0
V49_B3_0046,23,0.84,17,0.81
V49_B3_0047,27,0.73,21,1.06
V49_B3_0048,31,0.7,23,0.8
V49_B3_0049,25,0.78,19,0.31
V49_B3_0050,31,0.58,23,0.58
V49_B3_0051,25,0.78,20,0.29
V49_B3_0052,34,0.43,27,0.48
V49_B3_0053,38,0.55,31,1.01
V49_B3_0054,32,0.66,25,0.85
V49_B3_0055,29,0.53,16,0.36
V49_B3_0056,32,0.73,25,0.75
V49_B3_0057,41,0.51,21,0.67
V49_B3_0058,23,0.71,14,0.44
V49_B3_0059,25,0.7,22,0.7
V49_B3_0060,26,0.93,20,1.14
V49_B3_0061,14,0.51,13,0.48
V49_B3_0062,21,0.75,12,0.51
V49_B3_0063,32,0.63,24,0.73
V49_B3_0064,44,0.52,23,0.53
V49_B3_0065,14,0.66,13,0.34
V49_B3_0066,31,0.59,27,0.38
V49_B3_0067,32,0.71,26,0.73
V49_B3_0068,36,0.5,25,0.52
V49_B3_0069,34,0.64,25,0.52
V49_B3_0070,20,0.24,24,0.7
V49_B3_0071,19,0.74,12,0.36
V49_B3_0072,31,0.65,27,0.43
V49_B3_0073,21,0.79,14,0.44
V49_B3_0074,22,0.67,14,0.26
V49_B3_0075,21,0.56,16,0.51
V49_B3_0076,21,0.66,13,0.62
V49_B3_0077,26,0.84,20,0.66
V49_B3_0078,33,0.73,28,0.6
V49_B3_0079,33,0.42,27,0.48
V49_B3_0080,34,0.66,24,0.74
V49_B3_0081,18,0.35,21,0.8
V49_B3_0082,39,0.62,26,0.67
V49_B3_0083,26,0.59,13,0.24
V49_B3_0084,32,0.62,17,0.7
V49_B3_0085,30,0.44,20,0.52
V49_B3_0086,22,0.75,21,0.49
V49_B3_0087,23,0.71,15,0.72
V49_B3_0088,25,0.74,22,0.56
V49_B3_0089,25,0.71,22,0.5
V49_B3_0090,32,0.8,24,0.73
V49_B3_0091,22,0.62,14,0.6
V49_B3_0092,25,0.65,16,0.51
V49_B3_0093,38,0.46,31,1.28
V49_B3_0094,26,0.6,14,0.57
V49_B3_0095,16,0.7,21,0.44
V49_B3_0096,39,0.68,26,0.65
V49_B3_0097,32,0.65,24,0.74
V49_B3_0098,18,0.27,21,0.63
V49_B3_0099,45,0.56,30,0.65
V49_B3_0100,42,0.56,26,0.67
