trade_id,entry_time,side,outcome,pnl_net_ftmo,auditable,reason
T_0,2019-07-01T13:21:00+00:00,SHORT,SL,-1.0,YES,NONE
T_1,2019-07-03T13:45:00+00:00,SHORT,SL,-1.0455,YES,NONE
T_2,2019-07-05T13:06:00+00:00,SHORT,SL,-1.0,YES,NONE
T_3,2019-07-08T11:57:00+00:00,SHORT,TP,1.4,YES,NONE
T_4,2019-07-09T14:27:00+00:00,SHORT,SL,-1.0532,YES,NONE
T_5,2019-07-10T15:24:00+00:00,SHORT,TP,1.4,YES,NONE
T_6,2019-07-12T11:30:00+00:00,SHORT,SL,-1.0,YES,NONE
T_7,2019-07-15T11:00:00+00:00,SHORT,SL,-1.0,YES,NONE
T_8,2019-07-16T14:57:00+00:00,SHORT,TP,1.3714,YES,NONE
T_9,2019-07-18T11:21:00+00:00,SHORT,TP,1.4,YES,NONE
T_10,2019-07-19T16:15:00+00:00,SHORT,TP,1.3597,YES,NONE
T_11,2019-07-22T12:12:00+00:00,SHORT,TP,1.4,YES,NONE
T_12,2019-07-23T11:00:00+00:00,SHORT,SL,-1.0,YES,NONE
T_13,2019-07-24T11:42:00+00:00,SHORT,SL,-1.0,YES,NONE
T_14,2019-07-25T13:03:00+00:00,SHORT,TP,1.4,YES,NONE
T_15,2019-07-26T12:03:00+00:00,SHORT,TP,1.4,YES,NONE
T_16,2019-07-29T11:06:00+00:00,SHORT,TIME_EXIT,0.0,YES,NONE
T_17,2019-07-30T11:30:00+00:00,SHORT,TP,1.4,YES,NONE
T_18,2019-07-31T13:30:00+00:00,SHORT,SL,-1.0,YES,NONE
