config_id,total_R_VAL,best_month_VAL,best_month_R_VAL,best_month_share_VAL,concentration_flag
V49_7B_0559,7.2531,2023-01,5.5862,0.7701810260440364,HIGH
V49_7B_0751,6.8821,2023-01,5.3375,0.7755626916202903,HIGH
V49_7B_0083,5.0256,2023-01,5.1098,1.0167542184017828,HIGH
V49_7B_0395,7.378399999999999,2024-10,6.268599999999999,0.8495879865553507,HIGH
V49_7B_0054,7.082,2023-07,6.1924,0.8743857667325614,HIGH
V49_7B_0380,4.8969,2024-10,9.2853,1.896158794339276,HIGH
V49_7B_0458,7.2009,2024-10,9.5638,1.3281395381132914,HIGH
V49_7B_0228,3.3821,2023-01,3.8375000000000004,1.1346500694834571,HIGH
V49_7B_0292,5.539900000000001,2024-10,4.5527,0.8218018375782954,HIGH
V49_7B_0251,4.3684,2024-10,7.455299999999999,1.706643164545371,HIGH
V49_7B_0737,4.930499999999999,2023-01,7.837199999999999,1.5895345299665349,HIGH
V49_7B_0535,7.641899999999999,2024-10,5.5062999999999995,0.7205407032282548,HIGH
V49_7B_0128,6.4712,2023-07,5.756399999999999,0.8895413524539497,HIGH
V49_7B_0718,4.206999999999999,2024-10,10.6899,2.540979320180652,HIGH
V49_7B_0569,4.9712000000000005,2023-01,3.9071000000000002,0.7859470550370131,HIGH
V49_7B_0742,4.1969,2024-10,7.0527,1.6804546212680787,HIGH
V49_7B_0106,5.5399,2024-10,7.0527,1.2730735211826927,HIGH
V49_7B_0798,6.5308,2024-10,7.127,1.0912905003981135,HIGH
V49_7B_0234,3.5399000000000007,2023-01,2.2738000000000005,0.6423345292239894,HIGH
V49_7B_0590,2.7311999999999994,2024-10,2.6228,0.9603104862331577,HIGH
V49_7B_0550,2.6374999999999993,2023-01,5.2703,1.9982180094786735,HIGH
V49_7B_0042,3.0939000000000005,2024-10,6.1808,1.997737483435146,HIGH
V49_7B_0795,4.161299999999999,2023-01,4.0775999999999994,0.9798860932881552,HIGH
V49_7B_0651,2.3785999999999996,2024-10,2.6812,1.127217691078786,HIGH
V49_7B_0662,4.657100000000001,2024-10,5.9069,1.2683644328015287,HIGH
V49_7B_0138,3.748800000000001,2023-07,6.1924,1.6518352539479295,HIGH
V49_7B_0773,2.6903999999999995,2024-10,9.2853,3.4512711864406787,HIGH
V49_7B_0353,3.434199999999999,2023-01,5.0701,1.476355483081941,HIGH
V49_7B_0098,2.3685,2024-10,4.9337,2.0830483428330164,HIGH
V49_7B_0689,1.6100999999999999,2024-10,2.0288,1.2600459598782685,HIGH
V49_7B_0229,3.5560000000000005,2023-01,4.863,1.3675478065241844,HIGH
V49_7B_0272,1.7595999999999996,2023-01,5.5609,3.16032052739259,HIGH
V49_7B_0166,1.9656000000000002,2024-10,10.6899,5.438492063492062,HIGH
V49_7B_0744,2.6073000000000013,2024-10,3.4347000000000003,1.317339776780577,HIGH
V49_7B_0618,2.5580000000000007,2023-07,8.473700000000001,3.312627052384675,HIGH
V49_7B_0337,1.4396000000000004,2024-10,5.9669,4.144831897749373,HIGH
V49_7B_0461,1.2879999999999998,2023-01,2.2207,1.7241459627329194,HIGH
V49_7B_0315,2.1073000000000004,2023-07,2.482,1.1778104683718502,HIGH
V49_7B_0049,3.0195000000000007,2024-10,4.1326,1.368637191588011,HIGH
V49_7B_0761,2.686400000000001,2023-07,5.1638,1.922200714711137,HIGH
V49_7B_0359,1.2348999999999994,2023-01,2.1370999999999998,1.730585472507896,HIGH
V49_7B_0727,2.224400000000001,2024-10,5.9069,2.6555026074447032,HIGH
V49_7B_0332,1.7309,2024-10,8.1921,4.732855739788549,HIGH
V49_7B_0582,1.6261,2024-10,7.728,4.752475247524752,HIGH
V49_7B_0202,1.603500000000001,2023-01,4.180300000000001,2.6069847209229797,HIGH
V49_7B_0797,1.6426999999999987,2024-10,6.600999999999999,4.018384367200343,HIGH
V49_7B_0262,0.7846999999999995,2023-01,3.0606,3.900344080540336,HIGH
V49_7B_0252,1.4402,2024-10,6.5638,4.557561449798639,HIGH
V49_7B_0197,1.2729,2024-10,6.268599999999999,4.924660224683793,HIGH
V49_7B_0566,1.269000000000001,2023-01,5.359500000000001,4.223404255319146,HIGH
