config_id,month,phase,net_R,N,wins,losses
V49_7B_0001,2020-03,TRAIN,4.0237,12,6,6
V49_7B_0001,2020-09,TRAIN,-4.0958,17,5,12
V49_7B_0001,2021-02,TRAIN,-7.7528,7,0,7
V49_7B_0001,2021-08,TRAIN,-6.0595,15,4,11
V49_7B_0001,2022-05,TRAIN,-0.35240000000000005,14,5,9
V49_7B_0001,2022-11,TRAIN,-4.0664,23,7,16
V49_7B_0001,2023-01,VAL,-5.8424,19,5,14
V49_7B_0001,2023-07,VAL,-2.6628,16,5,11
V49_7B_0001,2024-04,VAL,-9.564,14,2,12
V49_7B_0001,2024-10,VAL,4.6721,24,11,13
V49_7B_0002,2020-03,TRAIN,1.6309000000000002,7,4,3
V49_7B_0002,2020-09,TRAIN,-5.9982,10,2,8
V49_7B_0002,2021-02,TRAIN,-3.2236,5,1,4
V49_7B_0002,2021-08,TRAIN,-7.16,10,2,8
V49_7B_0002,2022-05,TRAIN,-1.2134,10,4,6
V49_7B_0002,2022-11,TRAIN,-4.1233,15,5,10
V49_7B_0002,2023-01,VAL,0.7106999999999999,13,6,7
V49_7B_0002,2023-07,VAL,-2.8364,7,2,5
V49_7B_0002,2024-04,VAL,-7.7054,11,2,9
V49_7B_0002,2024-10,VAL,2.154,17,9,8
V49_7B_0003,2020-03,TRAIN,-10.3827,17,3,14
V49_7B_0003,2020-09,TRAIN,-5.4503,7,1,6
V49_7B_0003,2021-02,TRAIN,-1.3824999999999996,8,3,5
V49_7B_0003,2021-08,TRAIN,-2.6557000000000004,13,5,8
V49_7B_0003,2022-05,TRAIN,1.3531000000000004,8,4,4
V49_7B_0003,2022-11,TRAIN,-3.8697,6,1,5
V49_7B_0003,2023-01,VAL,10.4969,15,11,4
V49_7B_0003,2023-07,VAL,-4.6592,4,0,4
V49_7B_0003,2024-04,VAL,-2.1096,6,2,4
V49_7B_0003,2024-10,VAL,-4.8375,13,4,9
V49_7B_0004,2020-03,TRAIN,6.0853,10,6,4
V49_7B_0004,2020-09,TRAIN,-5.133799999999999,14,3,11
V49_7B_0004,2021-02,TRAIN,-6.6232,6,0,6
V49_7B_0004,2021-08,TRAIN,-6.7551,13,3,10
V49_7B_0004,2022-05,TRAIN,1.9118,12,5,7
V49_7B_0004,2022-11,TRAIN,1.327,18,7,11
V49_7B_0004,2023-01,VAL,-2.6317999999999997,16,5,11
V49_7B_0004,2023-07,VAL,-1.5377999999999998,15,5,10
V49_7B_0004,2024-04,VAL,-7.3397,12,2,10
V49_7B_0004,2024-10,VAL,1.3282000000000003,19,8,11
V49_7B_0005,2020-03,TRAIN,7.655800000000001,11,6,5
V49_7B_0005,2020-09,TRAIN,-8.4992,15,2,13
V49_7B_0005,2021-02,TRAIN,-7.8216,7,0,7
V49_7B_0005,2021-08,TRAIN,-2.3424000000000005,13,4,9
V49_7B_0005,2022-05,TRAIN,0.7274,12,4,8
V49_7B_0005,2022-11,TRAIN,-3.2584,22,6,16
V49_7B_0005,2023-01,VAL,-4.530099999999999,17,4,13
V49_7B_0005,2023-07,VAL,-7.3229999999999995,16,3,13
V49_7B_0005,2024-04,VAL,-11.143,13,1,12
V49_7B_0005,2024-10,VAL,6.0379,21,9,12
V49_7B_0006,2020-03,TRAIN,2.0406,5,3,2
V49_7B_0006,2020-09,TRAIN,-3.1658,5,1,4
V49_7B_0006,2021-02,TRAIN,-3.4161,3,0,3
V49_7B_0006,2021-08,TRAIN,-4.6266,6,1,5
V49_7B_0006,2022-05,TRAIN,1.6161999999999999,3,2,1
V49_7B_0006,2022-11,TRAIN,-2.628,9,3,6
V49_7B_0006,2023-01,VAL,0.6400000000000001,4,2,2
V49_7B_0006,2023-07,VAL,-1.8222999999999998,6,2,4
V49_7B_0006,2024-04,VAL,-3.1734999999999998,5,1,4
V49_7B_0006,2024-10,VAL,2.0526999999999997,9,5,4
V49_7B_0007,2020-03,TRAIN,-10.197700000000001,12,1,11
V49_7B_0007,2020-09,TRAIN,-7.5777,18,5,13
V49_7B_0007,2021-02,TRAIN,1.3141999999999996,10,5,5
V49_7B_0007,2021-08,TRAIN,-5.9391,16,5,11
V49_7B_0007,2022-05,TRAIN,2.0630999999999995,5,3,2
V49_7B_0007,2022-11,TRAIN,1.5703,8,4,4
V49_7B_0007,2023-01,VAL,-2.4873000000000003,13,5,8
V49_7B_0007,2023-07,VAL,-0.5581,5,2,3
V49_7B_0007,2024-04,VAL,-8.8058,10,1,9
V49_7B_0007,2024-10,VAL,4.2979,14,8,6
V49_7B_0008,2020-03,TRAIN,8.7996,10,7,3
V49_7B_0008,2020-09,TRAIN,-9.6473,11,1,10
V49_7B_0008,2021-02,TRAIN,-0.595,3,1,2
V49_7B_0008,2021-08,TRAIN,-9.729099999999999,10,1,9
V49_7B_0008,2022-05,TRAIN,-7.1549,6,0,6
V49_7B_0008,2022-11,TRAIN,-2.6774000000000004,15,5,10
V49_7B_0008,2023-01,VAL,6.4392000000000005,13,7,6
V49_7B_0008,2023-07,VAL,0.38490000000000024,15,6,9
V49_7B_0008,2024-04,VAL,-11.0551,9,0,9
V49_7B_0008,2024-10,VAL,-4.2388,18,6,12
V49_7B_0009,2020-03,TRAIN,-10.0793,12,1,11
V49_7B_0009,2020-09,TRAIN,-10.7637,21,5,16
V49_7B_0009,2021-02,TRAIN,2.824,11,6,5
V49_7B_0009,2021-08,TRAIN,-4.3172999999999995,19,7,12
V49_7B_0009,2022-05,TRAIN,2.1214000000000004,5,3,2
V49_7B_0009,2022-11,TRAIN,1.637,8,4,4
V49_7B_0009,2023-01,VAL,-4.749199999999999,15,5,10
V49_7B_0009,2023-07,VAL,-0.5002000000000002,5,2,3
V49_7B_0009,2024-04,VAL,-8.7566,10,1,9
V49_7B_0009,2024-10,VAL,3.1935000000000002,15,8,7
V49_7B_0010,2020-03,TRAIN,-9.610800000000001,19,3,16
V49_7B_0010,2020-09,TRAIN,-1.2575999999999996,20,6,14
V49_7B_0010,2021-02,TRAIN,-2.768,13,4,9
V49_7B_0010,2021-08,TRAIN,1.3099000000000003,20,8,12
V49_7B_0010,2022-05,TRAIN,0.7309000000000003,9,3,6
V49_7B_0010,2022-11,TRAIN,-2.4674,9,2,7
V49_7B_0010,2023-01,VAL,-1.9942,20,7,13
V49_7B_0010,2023-07,VAL,-4.3416,7,1,6
V49_7B_0010,2024-04,VAL,-5.1764,13,3,10
V49_7B_0010,2024-10,VAL,2.6498,18,7,11
V49_7B_0011,2020-03,TRAIN,-12.5793,12,0,12
V49_7B_0011,2020-09,TRAIN,-5.9075,18,4,14
V49_7B_0011,2021-02,TRAIN,1.9454,10,4,6
V49_7B_0011,2021-08,TRAIN,2.6457,16,6,10
V49_7B_0011,2022-05,TRAIN,1.5035000000000003,5,2,3
V49_7B_0011,2022-11,TRAIN,-1.3629999999999995,8,2,6
V49_7B_0011,2023-01,VAL,-9.0174,13,2,11
V49_7B_0011,2023-07,VAL,-2.0002,5,1,4
V49_7B_0011,2024-04,VAL,-8.4866,10,1,9
V49_7B_0011,2024-10,VAL,6.0947000000000005,14,7,7
V49_7B_0012,2020-03,TRAIN,2.8484,6,4,2
V49_7B_0012,2020-09,TRAIN,-7.6092,9,1,8
V49_7B_0012,2021-02,TRAIN,-5.7543,5,0,5
V49_7B_0012,2021-08,TRAIN,-4.325,10,3,7
V49_7B_0012,2022-05,TRAIN,-0.6827000000000003,5,2,3
V49_7B_0012,2022-11,TRAIN,-3.2043,14,5,9
V49_7B_0012,2023-01,VAL,-2.6819999999999995,7,2,5
V49_7B_0012,2023-07,VAL,-2.9596,7,2,5
V49_7B_0012,2024-04,VAL,-7.867699999999999,9,1,8
V49_7B_0012,2024-10,VAL,-2.3647,17,7,10
V49_7B_0013,2020-03,TRAIN,10.8948,11,8,3
V49_7B_0013,2020-09,TRAIN,-7.6213999999999995,15,3,12
V49_7B_0013,2021-02,TRAIN,-7.9595,7,0,7
V49_7B_0013,2021-08,TRAIN,-10.5696,14,2,12
V49_7B_0013,2022-05,TRAIN,1.37,12,5,7
V49_7B_0013,2022-11,TRAIN,-6.723700000000001,22,6,16
V49_7B_0013,2023-01,VAL,-0.6588000000000003,17,6,11
