pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2022-01-03 14:05:00-05:00,2022-01-03 14:10:00-05:00,115.3005,115.28022454133493,2000000,-351.72970188339684,-431.72970188339684,-1.4836554961419353,80.0,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-01-04 14:50:00-05:00,2022-01-04 15:00:00-05:00,116.1495,116.12518665961217,1991000,-416.80969107861034,-496.44969107861033,-1.3914942370682108,79.64,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-01-17 17:50:00-05:00,2022-01-17 18:05:00-05:00,114.58975,114.60426914325683,1981000,-250.96129267150008,-330.2012926715001,-1.7334835024713142,79.24000000000001,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-01-18 12:55:00-05:00,2022-01-18 13:10:00-05:00,114.5765,114.60877389029386,1974000,-555.83953026244,-634.79953026244,-1.2806039700346903,78.96000000000001,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-01-19 18:40:00-05:00,2022-01-19 18:45:00-05:00,114.3565,114.3565,1962000,-0.0,-78.48,-0.27465823095892355,78.48,session_close,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-01-20 14:25:00-05:00,2022-01-20 14:50:00-05:00,114.1445,114.16713192371388,1960000,-388.54108874911924,-466.9410887491192,-1.4214353118165959,78.4,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-01-21 11:40:00-05:00,2022-01-21 12:15:00-05:00,113.71849999999999,113.68641820269889,1951000,550.5557889526799,472.51578895267994,0.6192712604903513,78.04,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-01-27 14:40:00-05:00,2022-01-27 14:45:00-05:00,115.2215,115.24249411466698,1960000,356.99010755453594,278.59010755453596,0.5349008270374186,78.4,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-01-28 11:45:00-05:00,2022-01-28 12:30:00-05:00,115.2175,115.25120629021912,1966000,575.0109903403218,496.3709903403217,0.625474040536533,78.64,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-01-30 17:05:00-05:00,2022-01-30 17:35:00-05:00,115.2843,115.29842949558616,1976000,242.097405404329,163.057405404329,0.41405705268874127,79.04,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-02-02 12:10:00-05:00,2022-02-02 12:20:00-05:00,114.3445,114.32617945316494,1979000,317.11751131868635,237.95751131868636,0.5041058597134541,79.16000000000001,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-02-04 12:50:00-05:00,2022-02-04 13:00:00-05:00,115.2075,115.22728686451582,1984000,340.6259366541565,261.26593665415646,0.5212025126233173,79.36,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-02-10 12:05:00-05:00,2022-02-10 12:25:00-05:00,115.8925,115.92952486029213,1989000,635.1936579440263,555.6336579440264,0.639132158869267,79.56,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-02-11 13:10:00-05:00,2022-02-11 13:25:00-05:00,115.91550000000001,115.88846319794403,2000000,-466.52980960389215,-546.5298096038921,-1.3457861167711493,80.0,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-02-22 15:20:00-05:00,2022-02-22 15:40:00-05:00,115.0495,115.07878262129431,1989000,-506.10995615563604,-585.669956155636,-1.3140037060485417,79.56,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,short,2022-03-01 17:25:00-05:00,2022-03-01 17:35:00-05:00,114.87075,114.89483652950956,1977000,-414.471706577544,-493.55170657754405,-1.4457883563267147,79.08000000000001,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-03-02 17:25:00-05:00,2022-03-02 17:55:00-05:00,115.52825,115.50858255149485,1968000,-335.0722739938652,-413.79227399386525,-1.5755630642491798,78.72000000000001,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-03-08 16:55:00-05:00,2022-03-08 17:00:00-05:00,115.6653,115.64141788961565,1959000,-404.4840682909415,-482.8440682909415,-1.534243916270687,78.36,stop_loss,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-03-14 11:50:00-04:00,2022-03-14 11:55:00-04:00,117.9615,117.98196197156966,1950000,338.1714091095511,260.1714091095511,0.5254404201458315,78.0,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-03-17 13:40:00-04:00,2022-03-17 13:50:00-04:00,118.4415,118.46269905920212,1955000,349.87261610012933,271.6726161001293,0.5331385390696355,78.2,take_profit,trend_pullback,,,0,0.0,0.0
USDJPY,long,2022-03-20 17:50:00-04:00,2022-03-20 18:00:00-04:00,119.09525,119.10851790836082,1960000,218.30278018895098,139.902780188951,0.3882338676249891,78.4,take_profit,trend_pullback,,,0,0.0,0.0
