trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,pnl_base,pnl_net_ftmo,commission_r,auditable_yes_no,non_auditable_reason
N/A,2017-11-01T14:00:00+00:00,SHORT,1.16201,1.16201,1.1635080000000002,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-02T14:36:00+00:00,SHORT,1.16665,1.16665,1.1635979999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-03T11:00:00+00:00,SHORT,1.1645,1.1645,1.163828,0.0,BE,0.0,0.0,0.0,YES,NONE
N/A,2017-11-06T12:21:00+00:00,SHORT,1.15884,1.15884,1.157482,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-07T18:03:00+00:00,SHORT,1.15802,1.15802,1.1572779999999998,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-08T12:30:00+00:00,SHORT,1.15914,1.15914,1.1603860000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-09T14:33:00+00:00,SHORT,1.16106,1.16106,1.1626420000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-10T15:57:00+00:00,SHORT,1.16612,1.16612,1.1636559999999998,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-13T15:54:00+00:00,SHORT,1.16611,1.16611,1.1643459999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-14T13:24:00+00:00,SHORT,1.17489,1.17489,1.1764440000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-16T12:36:00+00:00,SHORT,1.1765,1.1765,1.1758419999999998,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-20T20:03:00+00:00,SHORT,1.17282,1.1737400000000002,1.1715319999999996,9.2,SL,-1.0,-1.0543,0.0543,YES,NONE
N/A,2017-11-22T15:06:00+00:00,SHORT,1.17797,1.17797,1.179272,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-24T15:00:00+00:00,SHORT,1.19256,1.19256,1.1936240000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-27T13:12:00+00:00,SHORT,1.19516,1.19516,1.196616,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-28T13:09:00+00:00,SHORT,1.18879,1.18879,1.1900920000000004,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2017-11-29T12:30:00+00:00,SHORT,1.184,1.184,1.1827539999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2017-11-30T16:15:00+00:00,SHORT,1.19068,1.19068,1.1870819999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
