pair,year,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2015,57,22,35,0,38.59649122807017,3.077671231343632,1399.74308036181,0.05399423212883565,3.33095542292113,1.0783434489806947
EURUSD,2016,66,20,46,0,30.303030303030305,-16.303385859991312,-7967.272249479924,-0.24702099787865625,7.778008865015883,0.6439279732142149
EURUSD,2017,63,10,53,0,15.873015873015872,-39.77837239744802,-16576.379479518593,-0.6314027364674288,17.468451643519188,0.26574473301371687
EURUSD,2018,5,1,4,0,20.0,-1.2293024443597762,-462.69121229882126,-0.24586048887195525,0.7652043066298456,0.611281634322712
