context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
core_reversion|wed_thu|early|balanced|deep|short,1,1,0,100.0,inf,253.72280278424722,0.5093868361898043
core_reversion|fri|core|balanced|deep|short,1,1,0,100.0,inf,3.858261827224567,0.020973966762247054
core_reversion|mon_tue|early|balanced|deep|short,1,0,1,0.0,0.0,-509.6432619677848,-1.3929504959079417
