pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2015-01,7,3,4,0,42.857142857142854,0.30275605209699674,136.054142988722,0.04325086458528525,0.5167208148277813,1.0663347139285269
EURUSD,2015-02,6,2,4,0,33.33333333333333,-0.4431397791767431,-235.6650241614342,-0.07385662986279051,1.0287914142777985,0.8850264302954493
EURUSD,2015-03,6,1,5,0,16.666666666666664,-3.11696283924494,-1553.3112249691712,-0.5194938065408233,2.00645208332096,0.38638322079438764
EURUSD,2015-04,4,0,4,0,0.0,-4.1387601053037315,-2015.1027927663242,-1.0346900263259329,1.504326973984093,0.0
EURUSD,2015-05,2,1,1,0,50.0,0.966767223159867,459.7133374294281,0.4833836115799335,0.48844092455338495,1.9323020844226517
EURUSD,2015-06,4,2,2,0,50.0,1.870291769031187,894.4918236085032,0.4675729422577968,0.5110064772876289,1.8968923929948676
EURUSD,2015-07,6,3,3,0,50.0,1.678066798828977,806.2038494473497,0.2796777998048295,0.6054184959573058,1.5415152072949336
EURUSD,2015-08,6,1,5,0,16.666666666666664,-3.1713020015834896,-1554.8375205812313,-0.5285503335972482,1.515040477867487,0.3804901798690215
EURUSD,2015-09,6,4,2,0,66.66666666666666,4.8199006049238164,2335.198142367732,0.8033167674873027,0.9773321492226292,3.366695033791197
EURUSD,2015-10,3,2,1,0,66.66666666666666,2.080748812896189,1024.9878870349637,0.6935829376320629,0.0,3.0181247143195042
EURUSD,2015-11,4,1,3,0,25.0,-1.1427147939356945,-576.9317973862708,-0.28567869848392363,0.5135929917026822,0.6235937119885293
EURUSD,2015-12,3,1,2,0,33.33333333333333,-1.8000207943400899,-890.7788179879445,-0.6000069314466966,1.0207796064771508,0.1284990562600173
EURUSD,2016-01,6,2,4,0,33.33333333333333,-1.5147574047442798,-751.74141559194,-0.25245956745737996,1.0216745289138358,0.633444801513637
EURUSD,2016-02,13,3,10,0,23.076923076923077,-7.479695796052909,-3589.044526077897,-0.575361215080993,3.6991233599587012,0.2711540913523499
EURUSD,2016-03,6,4,2,0,66.66666666666666,5.04672261793476,2374.8843026930285,0.84112043632246,0.48056298515674145,3.409481925890488
EURUSD,2016-04,5,1,4,0,20.0,-2.0820766657267167,-1003.0277851055419,-0.41641533314534335,0.9697949495946779,0.4827004331101133
EURUSD,2016-05,3,1,2,0,33.33333333333333,-0.08421828730916725,-46.851098772563205,-0.028072762436389082,0.9754584712956335,0.9524163934663689
EURUSD,2016-06,8,2,6,0,25.0,-3.6451470436026545,-1734.0253848076875,-0.4556433804503318,1.6834363240466568,0.516091310753185
EURUSD,2016-07,5,1,4,0,20.0,-2.6768593695883993,-1241.0478670996667,-0.5353718739176798,1.1620505214335421,0.24119149048063032
EURUSD,2016-08,3,0,3,0,0.0,-1.7693246847113016,-809.0295067972464,-0.5897748949037672,0.5738882658056762,0.0
EURUSD,2016-09,5,0,5,0,0.0,-4.5295768671569245,-2038.6498187533803,-0.905915373431385,1.5455022788116402,0.0
EURUSD,2016-10,7,3,4,0,42.857142857142854,0.5245001027845215,219.22530387446943,0.07492858611207451,0.912049381948961,1.1196444155447227
EURUSD,2016-11,1,0,1,0,0.0,-1.0238969019373543,-455.0206085802601,-1.0238969019373543,0.0,0.0
EURUSD,2016-12,4,2,2,0,50.0,-0.9191873911231474,-408.31416243841915,-0.22979684778078685,0.9082376769753027,0.5526891855432502
EURUSD,2017-01,4,1,3,0,25.0,-1.1419745389154046,-507.7071021875247,-0.28549363472885114,1.3371130576815524,0.6234614134176623
EURUSD,2017-02,3,0,3,0,0.0,-3.1170740638217507,-1354.922730030971,-1.0390246879405836,0.8925864345382171,0.0
EURUSD,2017-03,8,0,8,0,0.0,-8.397636725686073,-3543.2431449823525,-1.0497045907107592,3.1117284475485683,0.0
EURUSD,2017-04,7,1,6,0,14.285714285714285,-4.197261279588697,-1719.8957549099775,-0.5996087542269567,1.6748173731946012,0.31603022452513385
EURUSD,2017-05,6,1,5,0,16.666666666666664,-4.925315501529768,-1963.783802236051,-0.820885916921628,1.5560604964974225,0.05459838364331955
EURUSD,2017-06,9,3,6,0,33.33333333333333,-1.5968117350833788,-637.6124992120938,-0.17742352612037543,1.73867630904679,0.7374451633208366
EURUSD,2017-07,6,1,5,0,16.666666666666664,-3.2261013075923772,-1252.9001591855924,-0.5376835512653962,1.2150096097407346,0.3771405148750027
EURUSD,2017-08,1,0,1,0,0.0,-1.0211272919339007,-390.1774798739927,-1.0211272919339007,0.0,0.0
EURUSD,2017-09,5,0,5,0,0.0,-5.1400641417284945,-1933.3874455318191,-1.0280128283456988,1.5503982536162009,0.0
EURUSD,2017-10,8,2,6,0,25.0,-4.120488817061004,-1518.9020579477694,-0.5150611021326255,2.291706726654651,0.33766111372108365
EURUSD,2017-11,4,0,4,0,0.0,-3.668239878083896,-1319.3380353522307,-0.917059969520974,0.9455149043726846,0.0
EURUSD,2017-12,2,1,1,0,50.0,0.27725929947220784,96.1669909234808,0.13862964973610392,0.36891859770516017,1.259461470376431
EURUSD,2018-01,5,1,4,0,20.0,-1.2748492949813321,-458.1883444951804,-0.25496985899626645,0.7325461761056916,0.6023809849885254
