trade_id,entry_time,exit_time,duration_minutes,outcome_original,r_result_original,exit_price_original,fixed_duration_pattern,is_tp_sl_be,variability
595,2017-08-01 11:36:00-04:00,2017-08-01 13:12:00-04:00,96.0,SL,-1.0,1.18152,No,Yes,High
596,2017-08-02 13:00:00-04:00,2017-08-02 13:09:00-04:00,9.0,TP,1.4,1.18847,No,Yes,High
597,2017-08-03 10:03:00-04:00,2017-08-03 10:15:00-04:00,12.0,BE,0.0,1.1862,No,Yes,High
598,2017-08-04 07:57:00-04:00,2017-08-04 08:30:00-04:00,33.0,SL,-1.0,1.1861999999999997,No,Yes,High
599,2017-08-08 10:03:00-04:00,2017-08-08 10:24:00-04:00,21.0,TP,1.4,1.1765439999999998,No,Yes,High
600,2017-08-09 09:09:00-04:00,2017-08-09 09:12:00-04:00,3.0,TP,1.4,1.1713539999999998,No,Yes,High
601,2017-08-10 10:09:00-04:00,2017-08-10 12:24:00-04:00,135.0,SL,-1.0,1.1760000000000002,Yes,Yes,High
602,2017-08-11 07:57:00-04:00,2017-08-11 08:30:00-04:00,33.0,SL,-1.0,1.1773400000000005,No,Yes,High
603,2017-08-14 09:00:00-04:00,2017-08-14 10:00:00-04:00,60.0,SL,-1.0,1.17836,Yes,Yes,High
604,2017-08-16 09:33:00-04:00,2017-08-16 11:36:00-04:00,123.0,BE,0.0,1.16982,No,Yes,High
605,2017-08-18 15:00:00-04:00,2017-08-20 17:12:00-04:00,3012.0,SL,-1.0,1.1757299999999995,No,Yes,High
606,2017-08-21 09:00:00-04:00,2017-08-21 09:06:00-04:00,6.0,TP,1.4,1.1782340000000002,No,Yes,High
607,2017-08-22 14:42:00-04:00,2017-08-22 17:00:00-04:00,138.0,TP,1.4,1.1764620000000006,No,Yes,High
608,2017-08-23 07:09:00-04:00,2017-08-23 07:30:00-04:00,21.0,TP,1.4,1.1795100000000007,No,Yes,High
609,2017-08-24 13:03:00-04:00,2017-08-24 14:51:00-04:00,108.0,SL,-1.0,1.1803399999999995,No,Yes,High
610,2017-08-28 12:15:00-04:00,2017-08-28 12:30:00-04:00,15.0,BE,0.0,1.19771,Yes,Yes,High
611,2017-08-29 13:09:00-04:00,2017-08-29 13:36:00-04:00,27.0,BE,0.0,1.20061,No,Yes,High
612,2017-08-30 07:09:00-04:00,2017-08-30 07:27:00-04:00,18.0,TP,1.4,1.1936399999999998,No,Yes,High
613,2017-08-31 07:15:00-04:00,2017-08-31 08:30:00-04:00,75.0,BE,0.0,1.18448,Yes,Yes,High
