trade_id,direction,entry_time,exit_time,bid_exit,ask_exit,spread_exit_pips,exec_price,risk_pips_val,r_before_costs
595,SHORT,2017-08-01 15:36:00+00:00,2017-08-01 17:12:00+00:00,1.18089,1.18093,0.40000000000040004,1.18093,0.0020000000000002,-0.4799999999999879
596,LONG,2017-08-02 17:00:00+00:00,2017-08-02 17:09:00+00:00,1.18798,1.18801,0.2999999999997449,1.18798,0.00075,1.560000000000154
597,LONG,2017-08-03 14:03:00+00:00,2017-08-03 14:15:00+00:00,1.18636,1.1864,0.3999999999981796,1.18636,0.00174,0.6206896551725241
598,LONG,2017-08-04 11:57:00+00:00,2017-08-04 12:30:00+00:00,1.18673,1.18693,1.9999999999997797,1.18673,0.0015000000000002,-0.4133333333331735
599,SHORT,2017-08-08 14:03:00+00:00,2017-08-08 14:24:00+00:00,1.177,1.17702,0.1999999999990898,1.17702,0.0019900000000001,1.949748743718548
600,SHORT,2017-08-09 13:09:00+00:00,2017-08-09 13:12:00+00:00,1.1733,1.17334,0.40000000000040004,1.17334,0.0013900000000002,0.4244604316545204
601,SHORT,2017-08-10 14:09:00+00:00,2017-08-10 16:24:00+00:00,1.17556,1.17558,0.20000000000131024,1.17558,0.0034100000000001,-0.6363636363636193
602,SHORT,2017-08-11 11:57:00+00:00,2017-08-11 12:30:00+00:00,1.17666,1.17678,1.1999999999989797,1.17678,0.0014700000000003,-0.3129251700678986
603,LONG,2017-08-14 13:00:00+00:00,2017-08-14 14:00:00+00:00,1.1791,1.17912,0.1999999999990898,1.1791,0.0016900000000001,-0.2840236686390577
604,LONG,2017-08-16 13:33:00+00:00,2017-08-16 15:36:00+00:00,1.17024,1.17027,0.2999999999997449,1.17024,0.0017600000000002,0.4374999999999147
605,LONG,2017-08-18 19:00:00+00:00,2017-08-20 21:12:00+00:00,1.17599,1.1764,4.099999999997994,1.17599,0.0009500000000002,0.0947368421053963
607,LONG,2017-08-22 18:42:00+00:00,2017-08-22 21:00:00+00:00,1.17612,1.17622,0.9999999999998899,1.17612,0.0007300000000003,1.191780821917522
608,LONG,2017-08-23 11:09:00+00:00,2017-08-23 11:30:00+00:00,1.17933,1.17937,0.40000000000040004,1.17933,0.0006000000000003,1.5499999999993874
609,LONG,2017-08-24 17:03:00+00:00,2017-08-24 18:51:00+00:00,1.18066,1.18069,0.2999999999997449,1.18066,0.0009000000000003,-0.2333333333333039
