trade_id,r_result_original,tick_R,diff_R,outcome_original,tick_outcome,exit_price_original,exit_price_tick,diff_pips
595,-1.0,-0.4799999999999879,0.5200000000000121,SL,TIME_EXIT,1.18152,1.18093,5.899999999998684
596,1.4,1.560000000000154,0.16000000000015402,TP,TIME_EXIT,1.18847,1.18798,-4.899999999998794
597,0.0,0.6206896551725241,0.6206896551725241,BE,TIME_EXIT,1.1862,1.18636,1.6000000000016001
598,-1.0,-0.4133333333331735,0.5866666666668265,SL,TIME_EXIT,1.1861999999999997,1.18673,5.300000000003635
599,1.4,1.949748743718548,0.549748743718548,TP,TIME_EXIT,1.1765439999999998,1.17702,-4.76000000000143
600,1.4,0.4244604316545204,-0.9755395683454795,TP,TIME_EXIT,1.1713539999999998,1.17334,-19.860000000002653
601,-1.0,-0.6363636363636193,0.36363636363638074,SL,TIME_EXIT,1.1760000000000002,1.17558,4.20000000000087
602,-1.0,-0.3129251700678986,0.6870748299321014,SL,TIME_EXIT,1.1773400000000005,1.17678,5.6000000000056005
603,-1.0,-0.2840236686390577,0.7159763313609423,SL,TIME_EXIT,1.17836,1.1791,7.399999999999629
604,0.0,0.4374999999999147,0.4374999999999147,BE,TIME_EXIT,1.16982,1.17024,4.199999999998649
605,-1.0,0.0947368421053963,1.0947368421053962,SL,TIME_EXIT,1.1757299999999995,1.17599,2.600000000005931
606,1.4,0.0,-1.4,TP,BE,1.1782340000000002,1.17803,-2.0400000000031504
607,1.4,1.191780821917522,-0.2082191780824778,TP,TIME_EXIT,1.1764620000000006,1.17612,-3.4200000000050856
608,1.4,1.5499999999993874,0.1499999999993875,TP,TIME_EXIT,1.1795100000000007,1.17933,-1.8000000000073513
609,-1.0,-0.2333333333333039,0.7666666666666961,SL,TIME_EXIT,1.1803399999999995,1.18066,3.2000000000054207
