trade_id,entry_time,exit_time,ticks_available,coverage_ok
596,2017-08-01 11:36:00-04:00,2017-08-01 13:12:00-04:00,7208,YES
597,2017-08-02 13:00:00-04:00,2017-08-02 13:09:00-04:00,2861,YES
598,2017-08-03 10:03:00-04:00,2017-08-03 10:15:00-04:00,4450,YES
599,2017-08-04 07:57:00-04:00,2017-08-04 08:30:00-04:00,6357,YES
600,2017-08-08 10:03:00-04:00,2017-08-08 10:24:00-04:00,5354,YES
601,2017-08-09 09:09:00-04:00,2017-08-09 09:12:00-04:00,3285,YES
602,2017-08-10 10:09:00-04:00,2017-08-10 12:24:00-04:00,16114,YES
603,2017-08-11 07:57:00-04:00,2017-08-11 08:30:00-04:00,5663,YES
604,2017-08-14 09:00:00-04:00,2017-08-14 10:00:00-04:00,7743,YES
605,2017-08-16 09:33:00-04:00,2017-08-16 11:36:00-04:00,12625,YES
606,2017-08-18 15:00:00-04:00,2017-08-20 17:12:00-04:00,6601,YES
607,2017-08-21 09:00:00-04:00,2017-08-21 09:06:00-04:00,2163,YES
608,2017-08-22 14:42:00-04:00,2017-08-22 17:00:00-04:00,6681,YES
609,2017-08-23 07:09:00-04:00,2017-08-23 07:30:00-04:00,3107,YES
610,2017-08-24 13:03:00-04:00,2017-08-24 14:51:00-04:00,6441,YES
611,2017-08-28 12:15:00-04:00,2017-08-28 12:30:00-04:00,0,NO
612,2017-08-29 13:09:00-04:00,2017-08-29 13:36:00-04:00,0,NO
613,2017-08-30 07:09:00-04:00,2017-08-30 07:27:00-04:00,0,NO
614,2017-08-31 07:15:00-04:00,2017-08-31 08:30:00-04:00,0,NO
