pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
EURUSD,long,2022-12-21 12:35:00-05:00,2022-12-21 13:00:00-05:00,1.06025,1.0600800000000001,1886000,-320.6199999995878,-400.5988475995878,-0.5240008816991745,79.97884760000001,time_stop,usdjp_session_playbook,core_reversion|wed_thu|core|calm|deep|long,core_reversion,0,0.0,0.0
EURUSD,long,2022-12-23 14:10:00-05:00,2022-12-23 14:20:00-05:00,1.06124,1.0614050367193415,1877000,309.773922204067,230.08982752562292,0.5028132918604349,79.68409467844408,take_profit,usdjp_session_playbook,core_reversion|fri|core|calm|deep|long,core_reversion,0,0.0,0.0
EURUSD,short,2023-08-09 13:25:00-04:00,2023-08-09 13:30:00-04:00,1.09824,1.0981088073035874,1817000,238.3771293818895,158.56181372447713,0.35955385882375585,79.81531565741238,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,0,0.0,0.0
EURUSD,short,2024-01-10 12:55:00-05:00,2024-01-10 13:05:00-05:00,1.09656,1.0964488634978988,1823000,202.60184333039666,122.64474016726327,0.381340468721365,79.9571031631334,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,1,1.0,0.35955385882375585
EURUSD,long,2024-01-12 12:55:00-05:00,2024-01-12 13:05:00-05:00,1.09498,1.0951751085452504,1828000,356.65842071752786,276.58634994911347,0.5377155022209961,80.07207076841436,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|long,core_reversion,0,0.0,0.0
EURUSD,short,2024-06-28 12:40:00-04:00,2024-06-28 12:45:00-04:00,1.0715700000000001,1.071402633297541,1873000,313.4778337058812,233.20207886255528,0.5046737802959246,80.2757548433259,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|short,core_reversion,0,0.0,0.0
EURUSD,short,2024-07-26 13:05:00-04:00,2024-07-26 13:25:00-04:00,1.08629,1.0862071047423867,1852000,153.5220170998155,73.0527243401575,0.27951796277255153,80.469292759658,take_profit,usdjp_session_playbook,core_reversion|fri|core|calm|deep|short,core_reversion,0,0.0,0.0
EURUSD,short,2024-09-04 12:40:00-04:00,2024-09-04 12:45:00-04:00,1.1082,1.1080325024756428,1817000,304.3430017572073,223.8051126172424,0.49893435255384644,80.53788913996488,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,2,1.0,0.37044716377256043
EURUSD,short,2025-01-31 12:50:00-05:00,2025-01-31 12:55:00-05:00,1.04169,1.042206234466768,1937000,-999.9461621295422,-1080.676302252785,-1.1474143229001328,80.73014012324259,stop_loss,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|short,core_reversion,1,1.0,0.5046737802959246
EURUSD,long,2025-05-07 13:40:00-04:00,2025-05-07 13:45:00-04:00,1.13455,1.1342392408456716,1759000,-546.6253524635179,-626.4413579564686,-1.2684713344332705,79.81600549295072,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,0,0.0,0.0
