pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:30:00-05:00,109.7315,109.7416559736117,2000000,185.074689962688,105.07468996268801,0.3799350703391448,80.0,take_profit,adaptive_session_reversion,fri|core|balanced|deep|long,0,0.0,0.0
USDJPY,short,2020-03-12 11:30:00-04:00,2020-03-12 11:35:00-04:00,105.1895,105.35986782882145,473000,-763.5107920161079,-782.430792016108,-1.0428943196403209,18.92,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|short,0,0.0,0.0
USDJPY,long,2020-04-08 11:50:00-04:00,2020-04-08 12:10:00-04:00,108.7095,108.74713699370677,1771000,612.9826083989043,542.1426083989044,0.7280855712863339,70.84,take_profit,adaptive_session_reversion,wed_thu|early|balanced|deep|long,0,0.0,0.0
USDJPY,short,2020-04-22 12:20:00-04:00,2020-04-22 12:35:00-04:00,107.8485,107.81150000000001,1997000,685.3758533688026,605.4958533688025,0.9130878939233836,79.88000000000001,mean_reversion_exit,adaptive_session_reversion,wed_thu|early|balanced|deep|short,1,0.0,-1.0428943196403209
USDJPY,long,2020-05-28 12:40:00-04:00,2020-05-28 12:45:00-04:00,107.66250000000001,107.6735,2009000,205.23417257159207,124.87417257159206,0.2612502601551194,80.36000000000001,mean_reversion_exit,adaptive_session_reversion,wed_thu|core|balanced|deep|long,0,0.0,0.0
USDJPY,long,2020-07-06 14:00:00-04:00,2020-07-06 14:10:00-04:00,107.4055,107.38531663377533,2011000,-377.9318740543406,-458.37187405434065,-1.467380228975497,80.44000000000001,stop_loss,adaptive_session_reversion,mon_tue|core|balanced|deep|long,0,0.0,0.0
USDJPY,short,2020-08-24 14:35:00-04:00,2020-08-24 14:55:00-04:00,105.9395,105.96184917082066,2002000,-422.27146589179796,-502.351465891798,-1.4103925791067127,80.08000000000001,stop_loss,adaptive_session_reversion,mon_tue|late|balanced|deep|short,0,0.0,0.0
USDJPY,long,2020-09-10 13:50:00-04:00,2020-09-10 13:55:00-04:00,106.1635,106.1745,1992000,206.37043455321623,126.69043455321622,0.36246212557488916,79.68,mean_reversion_exit,adaptive_session_reversion,wed_thu|core|calm|deep|long,0,0.0,0.0
USDJPY,long,2021-05-06 11:10:00-04:00,2021-05-06 11:45:00-04:00,109.1105,109.1825,1914000,1262.1398347774,1185.5798347774,1.585173176062311,76.56,mean_reversion_exit,adaptive_session_reversion,wed_thu|early|balanced|deep|long,1,1.0,0.7280855712863339
USDJPY,long,2021-06-10 13:05:00-04:00,2021-06-10 13:10:00-04:00,109.4585,109.42876931078338,2018000,-548.2590019202979,-628.979001920298,-1.3006389613498688,80.72000000000001,stop_loss,adaptive_session_reversion,wed_thu|core|balanced|deep|long,1,1.0,0.2612502601551194
USDJPY,long,2021-06-29 11:40:00-04:00,2021-06-29 12:00:00-04:00,110.4955,110.5405,2006000,816.5979157618226,736.3579157618226,1.3445910178987108,80.24000000000001,mean_reversion_exit,adaptive_session_reversion,mon_tue|early|balanced|deep|long,0,0.0,0.0
USDJPY,short,2021-08-20 13:55:00-04:00,2021-08-20 14:00:00-04:00,109.8245,109.81985099627674,2021000,85.54786554285174,4.707865542851735,0.018937952982118686,80.84,take_profit,adaptive_session_reversion,fri|core|balanced|deep|short,0,0.0,0.0
USDJPY,long,2021-08-27 11:25:00-04:00,2021-08-27 12:00:00-04:00,109.9175,109.86829632808582,1822000,-816.1343173865703,-889.0143173865704,-1.1734331442838657,72.88000000000001,stop_loss,adaptive_session_reversion,fri|early|balanced|deep|long,0,0.0,0.0
USDJPY,long,2021-10-04 13:00:00-04:00,2021-10-04 13:15:00-04:00,110.8695,110.89638915813572,2003000,485.65359554409844,405.53359554409843,0.6648308994175199,80.12,take_profit,adaptive_session_reversion,mon_tue|core|balanced|deep|long,1,0.0,-1.467380228975497
USDJPY,short,2021-12-06 11:35:00-05:00,2021-12-06 11:40:00-05:00,113.4175,113.38782108057795,2011000,526.3630563343328,445.9230563343327,0.6823418422704398,80.44000000000001,take_profit,adaptive_session_reversion,mon_tue|early|balanced|deep|short,0,0.0,0.0
USDJPY,long,2021-12-08 13:45:00-05:00,2021-12-08 13:55:00-05:00,113.6575,113.67793193864019,2020000,363.0044420976489,282.2044420976489,0.5971675764697248,80.80000000000001,take_profit,adaptive_session_reversion,wed_thu|core|balanced|deep|long,2,0.5,-0.5196943505973747
