timeframe,output_path,sha256,row_count,min_timestamp_utc,max_timestamp_utc,source_files_used,source_files_excluded_2025_2026,duplicate_rows_removed,gaps_summary,schema,git_tracked,notes
M1,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M1.csv,93b74bb65b794b8ee20fd8fd1a46e55ccd1329cb1e3d5de59794b9f6b9078f23,3634609,2015-01-01 22:01:00+00:00,2024-12-31 22:00:00+00:00,120,16,0,gaps_gt_expected_delta=9901;max_gap=6 days 03:01:00;first_gap=2015-01-02 03:05:00+00:00,open|high|low|close|volume,NO,local_train_only_ohlcv_from_raw_tick_mid_price_volume_tick_count
M5,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M5.csv,386ab589d14e52236581201b03aa7d8e6c5d2c9771bc59eea00d34abc1afa625,729382,2015-01-01 22:05:00+00:00,2024-12-31 22:00:00+00:00,120,16,0,gaps_gt_expected_delta=789;max_gap=6 days 03:05:00;first_gap=2015-01-02 22:00:00+00:00,open|high|low|close|volume,NO,local_train_only_ohlcv_from_raw_tick_mid_price_volume_tick_count
M15,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M15.csv,ebe7ade5b77850286435715755ad114e67efc797b0150574a43041e0bbdbc04e,243169,2015-01-01 22:15:00+00:00,2024-12-31 22:00:00+00:00,120,16,0,gaps_gt_expected_delta=706;max_gap=6 days 03:15:00;first_gap=2015-01-02 22:00:00+00:00,open|high|low|close|volume,NO,local_train_only_ohlcv_from_raw_tick_mid_price_volume_tick_count
H1,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_H1.csv,ef1bc7156e6fc4938c73e8ca277c38231605631c416d2d298a6bbe23de60f852,60800,2015-01-01 23:00:00+00:00,2024-12-31 22:00:00+00:00,120,16,0,gaps_gt_expected_delta=698;max_gap=6 days 04:00:00;first_gap=2015-01-02 22:00:00+00:00,open|high|low|close|volume,NO,local_train_only_ohlcv_from_raw_tick_mid_price_volume_tick_count
