partition,timeframe,output_path,sha256,size_bytes,row_count,min_timestamp_utc,max_timestamp_utc,source_files_used,source_period_start,source_period_end,duplicate_rows_removed,gaps_summary,ohlc_valid,no_nan_ohlc,no_duplicate_timestamps,leakage_status,default_loader_access,git_tracked,notes
train,M1,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M1.csv,93b74bb65b794b8ee20fd8fd1a46e55ccd1329cb1e3d5de59794b9f6b9078f23,298701722,3634609,2015-01-01 22:01:00+00:00,2024-12-31 22:00:00+00:00,120,2015-01,2024-12,0,gaps_gt_expected_delta=9901;max_gap=6 days 03:01:00;first_gap=2015-01-02 03:05:00+00:00,YES,YES,YES,TRAIN_NO_2025_2026,YES,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
train,M5,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M5.csv,386ab589d14e52236581201b03aa7d8e6c5d2c9771bc59eea00d34abc1afa625,60488231,729382,2015-01-01 22:05:00+00:00,2024-12-31 22:00:00+00:00,120,2015-01,2024-12,0,gaps_gt_expected_delta=789;max_gap=6 days 03:05:00;first_gap=2015-01-02 22:00:00+00:00,YES,YES,YES,TRAIN_NO_2025_2026,YES,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
train,M15,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_M15.csv,ebe7ade5b77850286435715755ad114e67efc797b0150574a43041e0bbdbc04e,20285857,243169,2015-01-01 22:15:00+00:00,2024-12-31 22:00:00+00:00,120,2015-01,2024-12,0,gaps_gt_expected_delta=706;max_gap=6 days 03:15:00;first_gap=2015-01-02 22:00:00+00:00,YES,YES,YES,TRAIN_NO_2025_2026,YES,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
train,H1,05_MARKET_DATA_VAULT\eurusd_data\prepared_train_2015_2024\prepared\EURUSD_H1.csv,ef1bc7156e6fc4938c73e8ca277c38231605631c416d2d298a6bbe23de60f852,5108086,60800,2015-01-01 23:00:00+00:00,2024-12-31 22:00:00+00:00,120,2015-01,2024-12,0,gaps_gt_expected_delta=698;max_gap=6 days 04:00:00;first_gap=2015-01-02 22:00:00+00:00,YES,YES,YES,TRAIN_NO_2025_2026,YES,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
holdout,M1,05_MARKET_DATA_VAULT\eurusd_data\sealed_holdout_2025_2026\prepared\EURUSD_M1.csv,b82c4fd7a6da734562d1ec9252ab61b780e5261aa2ff9ffaf0e38c57f40e365c,38954409,474482,2025-01-01 22:01:00+00:00,2026-05-01 00:00:00+00:00,16,2025-01,2026-04,0,gaps_gt_expected_delta=1253;max_gap=16 days 00:05:00;first_gap=2025-01-01 22:01:00+00:00,YES,YES,YES,SEALED_NOT_FOR_RESEARCH_SELECTION,NO,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
holdout,M5,05_MARKET_DATA_VAULT\eurusd_data\sealed_holdout_2025_2026\prepared\EURUSD_M5.csv,91de8cc576518d6831d64d5a38d7a964c89e9b7490be85252ed08f70cd6ec77e,7889348,95219,2025-01-01 22:05:00+00:00,2026-05-01 00:00:00+00:00,16,2025-01,2026-04,0,gaps_gt_expected_delta=117;max_gap=16 days 00:05:00;first_gap=2025-01-03 22:00:00+00:00,YES,YES,YES,SEALED_NOT_FOR_RESEARCH_SELECTION,NO,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
holdout,M15,05_MARKET_DATA_VAULT\eurusd_data\sealed_holdout_2025_2026\prepared\EURUSD_M15.csv,de928f1bbecbaef9bf6df5c58f85735a268b2cc1dc6546ffe70d7f28f3460952,2645193,31748,2025-01-01 22:15:00+00:00,2026-05-01 00:00:00+00:00,16,2025-01,2026-04,0,gaps_gt_expected_delta=101;max_gap=16 days 00:15:00;first_gap=2025-01-03 22:00:00+00:00,YES,YES,YES,SEALED_NOT_FOR_RESEARCH_SELECTION,NO,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
holdout,H1,05_MARKET_DATA_VAULT\eurusd_data\sealed_holdout_2025_2026\prepared\EURUSD_H1.csv,cdaf31a549102aa0e4e343a0e6b069144cee8b280b2c44c99bfee0c408fc523a,666533,7939,2025-01-01 23:00:00+00:00,2026-05-01 00:00:00+00:00,16,2025-01,2026-04,0,gaps_gt_expected_delta=96;max_gap=16 days 01:00:00;first_gap=2025-01-03 22:00:00+00:00,YES,YES,YES,SEALED_NOT_FOR_RESEARCH_SELECTION,NO,NO,right_edge_bar_labels;no_strategy_metrics;no_backtest
