pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2015-01,7,2,5,0,28.57142857142857,-4.676821276933184,-2391.982255322748,-0.6681173252761692,3.349466451579165,0.292867034150842
EURUSD,2015-02,6,2,4,0,33.33333333333333,-2.0276716350802033,-1060.7410264956006,-0.3379452725133672,1.5472356552050992,0.5850627525467674
EURUSD,2015-03,6,2,4,0,33.33333333333333,-3.101359742570601,-1622.3256610282926,-0.5168932904284335,2.1077734329860394,0.38256620693835564
EURUSD,2015-04,4,3,1,0,75.0,0.9279879177127683,476.33830928138,0.23199697942819208,1.0638857249781057,1.4431819448250751
EURUSD,2015-05,2,1,1,0,50.0,0.9653622611799435,508.3447527068787,0.48268113058997175,0.5462066037558402,1.9209172977004696
EURUSD,2015-06,4,3,1,0,75.0,1.9248906801851158,1033.0925376700186,0.48122267004627894,1.108335258052029,1.9123555466813913
EURUSD,2015-07,6,2,4,0,33.33333333333333,-2.0354631518286026,-1150.967984693836,-0.3392438586381004,2.7946839395084866,0.5904100240098403
EURUSD,2015-08,6,3,3,0,50.0,-1.149966277740036,-686.6459052507787,-0.191661046290006,1.7675652517727858,0.7096470946032476
EURUSD,2015-09,6,3,3,0,50.0,-1.1129094319313628,-698.3592292275796,-0.1854849053218938,2.967580108192731,0.7686826617807858
EURUSD,2015-10,3,1,2,0,33.33333333333333,-1.8299483397564709,-1105.1754386329608,-0.6099827799188237,1.2209849216107036,0.3984028001434789
EURUSD,2015-11,4,1,3,0,25.0,-3.1185938138487797,-1891.0708769666494,-0.7796484534621949,2.4632774494993184,0.23677234506413777
EURUSD,2015-12,3,3,0,0,100.0,3.941455761254256,2396.7712349271596,1.313818587084752,0.0,inf
EURUSD,2016-01,6,2,4,0,33.33333333333333,-1.0164190739088161,-642.1462218938375,-0.1694031789848027,0.6661250569320281,0.7425788464127392
EURUSD,2016-02,13,8,5,0,61.53846153846154,3.4718030922538095,2232.0044045637387,0.2670617763272161,1.1093678360448662,1.6982833253808993
EURUSD,2016-03,6,3,3,0,50.0,0.5363034564497013,310.18726140426975,0.08938390940828356,2.3915732452747593,1.0984086582318977
EURUSD,2016-04,5,3,2,0,60.0,-0.13758397713652892,-127.65961650301449,-0.027516795427305785,1.5095144078144966,0.9426017452573621
EURUSD,2016-05,3,2,1,0,66.66666666666666,2.8749889060239977,2110.1197666435055,0.9583296353413325,0.7694208531111342,3.70346512962408
EURUSD,2016-06,8,3,5,0,37.5,-3.6761587447074207,-2819.1802121491046,-0.4595198430884276,3.531728298144742,0.513367737826701
EURUSD,2016-07,5,4,1,0,80.0,2.231782517068811,1748.973247255166,0.44635650341376215,0.0,3.2195060516886542
EURUSD,2016-08,3,0,3,0,0.0,-1.70992323495721,-1365.2481897710175,-0.5699744116524034,0.9787152118671021,0.0
EURUSD,2016-09,5,1,4,0,20.0,-3.9397518565901306,-3164.197934607879,-0.7879503713180261,2.497033319687675,0.05813959834500558
EURUSD,2016-10,7,3,4,0,42.857142857142854,-1.1038487877480199,-955.238155313947,-0.15769268396400285,4.030246058903239,0.7684754325966074
EURUSD,2016-11,1,1,0,0,100.0,0.974398829660785,805.447619285723,0.974398829660785,0.0,inf
EURUSD,2016-12,4,2,2,0,50.0,-0.3489665663287391,-291.3993659956951,-0.08724164158218478,0.8596351478861628,0.8104923018957079
EURUSD,2017-01,4,2,2,0,50.0,-1.1252165622010661,-969.4744057081176,-0.28130414055026653,0.8909516979018237,0.6316114104383825
EURUSD,2017-02,3,2,1,0,66.66666666666666,0.890198848076474,757.304717545339,0.29673294935882466,0.8939722349901098,1.8332400949263918
EURUSD,2017-03,8,5,3,0,62.5,1.6468096419451141,1454.0041300152996,0.20585120524313927,1.0429174035340572,1.5113126132290366
EURUSD,2017-04,7,4,3,0,57.14285714285714,1.7700804131362518,1652.1641541841636,0.252868630448036,0.9919602940071609,1.5659232514821952
EURUSD,2017-05,6,2,4,0,33.33333333333333,-1.6542324237336272,-1610.5601418508036,-0.27570540395560456,3.456363468721381,0.5383211238214416
EURUSD,2017-06,9,6,3,0,66.66666666666666,4.756896474530296,4794.345928762898,0.5285440527255885,2.9508865013203827,2.579558819342213
EURUSD,2017-07,6,3,3,0,50.0,0.7622437732811675,797.9936046710998,0.1270406288801946,1.1337684486452988,1.238427441279421
EURUSD,2017-08,1,0,1,0,0.0,-1.022087244616237,-1105.2965801913117,-1.022087244616237,0.0,0.0
EURUSD,2017-09,5,1,4,0,20.0,-3.16402439958738,-3441.3676782320713,-0.632804879917476,2.359237899195268,0.2321116268495897
EURUSD,2017-10,8,4,4,0,50.0,1.4793359135672797,1666.7284988590432,0.18491698919590996,1.2741616624674483,1.4444603070205082
EURUSD,2017-11,4,1,3,0,25.0,-1.6603967033007443,-1906.7615464316816,-0.4150991758251861,1.2020613699931406,0.3688803282937528
EURUSD,2017-12,2,1,1,0,50.0,0.4579309808797516,513.7280578273603,0.2289654904398758,1.1949001265006929,1.4226254624019121
EURUSD,2018-01,5,2,3,0,40.0,-3.06499445859093,-3598.056866969111,-0.612998891718186,4.811493963688364,0.25271946691699976
