pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2020-01,1,1,0,73.78795303401043,inf
USDCAD,2020-04,1,0,1,-758.3019748748428,0.0
USDCAD,2020-10,1,1,0,208.82827213426344,inf
USDCAD,2020-11,1,1,0,215.26075500089337,inf
USDCAD,2021-01,1,0,1,-986.7598797535248,0.0
