config_id,entry_time,net_r
V49_7B_0001,2020-03-03 13:57:00+00:00,1.8971
V49_7B_0001,2020-03-09 12:00:00+00:00,-1.0636
V49_7B_0001,2020-03-09 13:54:00+00:00,0.6059
V49_7B_0001,2020-03-09 14:30:00+00:00,-1.0357
V49_7B_0001,2020-03-09 14:33:00+00:00,-1.0412
V49_7B_0001,2020-03-16 14:00:00+00:00,1.9653
V49_7B_0001,2020-03-16 14:09:00+00:00,1.9573
V49_7B_0001,2020-03-16 14:12:00+00:00,-1.0259
V49_7B_0001,2020-03-20 12:24:00+00:00,1.9407
V49_7B_0001,2020-03-20 14:33:00+00:00,-1.0432
V49_7B_0001,2020-03-24 12:03:00+00:00,1.9462
V49_7B_0001,2020-03-25 13:00:00+00:00,-1.0556
V49_7B_0001,2020-03-25 13:06:00+00:00,-1.0648
V49_7B_0002,2020-03-03 13:57:00+00:00,1.3971
V49_7B_0002,2020-03-09 12:00:00+00:00,-1.0795
V49_7B_0002,2020-03-09 13:54:00+00:00,0.6059
V49_7B_0002,2020-03-20 12:24:00+00:00,1.4407
V49_7B_0002,2020-03-24 12:03:00+00:00,1.3871
V49_7B_0002,2020-03-25 13:00:00+00:00,-1.0556
V49_7B_0002,2020-03-25 13:06:00+00:00,-1.0648
V49_7B_0003,2020-03-02 14:12:00+00:00,-1.0714
V49_7B_0003,2020-03-05 15:48:00+00:00,-1.0565
V49_7B_0003,2020-03-06 14:24:00+00:00,-1.0547
V49_7B_0003,2020-03-06 14:48:00+00:00,-1.05
V49_7B_0003,2020-03-12 13:06:00+00:00,1.4125
V49_7B_0003,2020-03-12 13:36:00+00:00,-1.0407
V49_7B_0003,2020-03-16 14:42:00+00:00,-1.0427
V49_7B_0003,2020-03-19 13:57:00+00:00,-1.025
V49_7B_0003,2020-03-19 14:15:00+00:00,-1.0625
V49_7B_0003,2020-03-19 14:51:00+00:00,-1.0368
V49_7B_0003,2020-03-19 14:54:00+00:00,-1.0972
V49_7B_0003,2020-03-20 13:03:00+00:00,-1.0875
V49_7B_0003,2020-03-24 13:42:00+00:00,-1.0173
V49_7B_0003,2020-03-24 14:00:00+00:00,-1.0241
V49_7B_0003,2020-03-24 14:09:00+00:00,-1.0398
V49_7B_0003,2020-03-27 14:33:00+00:00,-1.0854
V49_7B_0003,2020-03-27 14:51:00+00:00,1.4478
V49_7B_0003,2020-03-31 14:54:00+00:00,1.4514
V49_7B_0004,2020-03-03 13:57:00+00:00,1.8971
V49_7B_0004,2020-03-09 12:00:00+00:00,-1.0636
V49_7B_0004,2020-03-09 13:54:00+00:00,0.6059
V49_7B_0004,2020-03-09 14:30:00+00:00,-1.0357
V49_7B_0004,2020-03-09 14:33:00+00:00,-1.0412
V49_7B_0004,2020-03-16 14:00:00+00:00,1.9653
V49_7B_0004,2020-03-16 14:09:00+00:00,1.9573
V49_7B_0004,2020-03-16 14:12:00+00:00,-1.0259
V49_7B_0004,2020-03-20 12:24:00+00:00,1.9407
V49_7B_0004,2020-03-20 14:33:00+00:00,-1.0432
V49_7B_0004,2020-03-24 12:03:00+00:00,1.9462
V49_7B_0004,2020-03-25 13:00:00+00:00,-1.0556
V49_7B_0004,2020-03-25 13:06:00+00:00,-1.0648
V49_7B_0005,2020-03-03 13:57:00+00:00,2.3852
V49_7B_0005,2020-03-09 12:00:00+00:00,-1.0757
V49_7B_0005,2020-03-09 13:54:00+00:00,0.7923
V49_7B_0005,2020-03-09 14:33:00+00:00,-1.0509
V49_7B_0005,2020-03-16 14:00:00+00:00,2.4567
V49_7B_0005,2020-03-16 14:09:00+00:00,2.4474
V49_7B_0005,2020-03-16 14:12:00+00:00,-1.0329
V49_7B_0005,2020-03-20 12:24:00+00:00,2.4289
V49_7B_0005,2020-03-20 14:33:00+00:00,-1.0532
V49_7B_0005,2020-03-24 12:03:00+00:00,2.4349
V49_7B_0005,2020-03-25 13:06:00+00:00,-1.0769
