step,start_time,end_time,duration_sec,input_rows,output_rows,status,error_type,error_message
LOAD_CONFIGS,2026-05-14 09:26:29.047020,2026-05-14 09:26:29.058417,0.011397,1,1,OK,,
LOAD_NEWS,2026-05-14 09:26:29.059188,2026-05-14 09:26:29.076388,0.0172,504,504,OK,,
LOAD_TICKS,2026-05-14 09:26:29.076913,2026-05-14 09:26:29.562029,0.485116,0,5709997,OK,,
BUILD_BARS,2026-05-14 09:26:29.563588,2026-05-14 09:26:30.540315,0.976727,5709997,6370,OK,,
BUILD_LEVELS,2026-05-14 09:26:30.540866,2026-05-14 09:26:30.654719,0.113853,6370,27,OK,,
DETECT_SIGNALS_V49_7B_0001,2026-05-14 09:26:30.655206,2026-05-14 09:26:30.828452,0.173246,10616,315,OK,,
WRITE_RESULTS,2026-05-14 09:26:33.168299,2026-05-14 09:26:33.171807,0.003508,13,13,OK,,
LOAD_CONFIGS,2026-05-14 09:26:43.540015,2026-05-14 09:26:43.550763,0.010748,5,5,OK,,
LOAD_NEWS,2026-05-14 09:26:43.551340,2026-05-14 09:26:43.567972,0.016632,504,504,OK,,
LOAD_TICKS,2026-05-14 09:26:43.568492,2026-05-14 09:26:43.981547,0.413055,0,5709997,OK,,
BUILD_BARS,2026-05-14 09:26:43.982049,2026-05-14 09:26:44.901873,0.919824,5709997,6370,OK,,
BUILD_LEVELS,2026-05-14 09:26:44.902640,2026-05-14 09:26:45.013806,0.111166,6370,27,OK,,
DETECT_SIGNALS_V49_7B_0001,2026-05-14 09:26:45.014312,2026-05-14 09:26:45.165373,0.151061,10616,315,OK,,
DETECT_SIGNALS_V49_7B_0002,2026-05-14 09:26:47.698566,2026-05-14 09:26:47.876657,0.178091,10616,315,OK,,
DETECT_SIGNALS_V49_7B_0003,2026-05-14 09:26:49.114802,2026-05-14 09:26:49.296122,0.18132,10616,256,OK,,
DETECT_SIGNALS_V49_7B_0004,2026-05-14 09:26:51.035138,2026-05-14 09:26:51.193903,0.158765,10616,315,OK,,
DETECT_SIGNALS_V49_7B_0005,2026-05-14 09:26:53.545011,2026-05-14 09:26:53.770962,0.225951,10616,275,OK,,
WRITE_RESULTS,2026-05-14 09:26:56.110001,2026-05-14 09:26:56.113964,0.003963,62,62,OK,,
