pair,year,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020,45,17,28,-8802.776106801173,0.45148420884143514
GBPUSD,2020,47,14,33,-14108.54339804838,0.3380257823520959
USDJPY,2020,55,22,33,-10149.22419895995,0.44440020800327995
