trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
1178,2020-03-02T12:27:00+00:00,2020-03-02T12:44:34.725000,SHORT,BE_STOP,0.0,-0.0267,0.0267
1179,2020-03-03T16:51:00+00:00,2020-03-03T19:44:09.613000,LONG,BE_STOP,0.0,-0.0129,0.0129
1180,2020-03-04T12:06:00+00:00,2020-03-04T12:30:25.468000,SHORT,TP,1.4,1.3286,0.0714
1181,2020-03-05T13:36:00+00:00,2020-03-05T13:48:31.137000,SHORT,BE_STOP,0.0,-0.0373,0.0373
1182,2020-03-06T14:12:00+00:00,2020-03-06T14:50:40.213000,LONG,TP,1.4,1.3635,0.0365
1183,2020-03-09T13:48:00+00:00,2020-03-09T13:54:01.951000,SHORT,BE_STOP,0.0,-0.007,0.007
1184,2020-03-10T12:06:00+00:00,2020-03-10T13:19:28.344000,LONG,BE_STOP,0.0,-0.0189,0.0189
1185,2020-03-12T11:57:00+00:00,2020-03-12T12:16:01.219000,LONG,BE_STOP,0.0,-0.0185,0.0185
1186,2020-03-16T12:36:00+00:00,2020-03-16T12:55:44.250000,SHORT,BE_STOP,0.0,-0.0187,0.0187
1187,2020-03-17T11:03:00+00:00,2020-03-17T11:22:35.224000,SHORT,BE_STOP,0.0,-0.0294,0.0294
1188,2020-03-18T17:24:00+00:00,2020-03-18T18:06:04.069000,LONG,BE_STOP,0.0,-0.0143,0.0143
1189,2020-03-19T11:21:00+00:00,2020-03-19T12:52:32.848000,SHORT,BE_STOP,0.0,-0.0141,0.0141
1190,2020-03-23T12:00:00+00:00,2020-03-23T12:17:32.790000,LONG,TP,1.4,1.3853,0.0147
1191,2020-03-24T12:06:00+00:00,2020-03-24T13:10:46.053000,SHORT,BE_STOP,0.0,-0.0157,0.0157
1192,2020-03-25T17:18:00+00:00,2020-03-25T23:44:57.604000,LONG,TIME_EXIT,1.0218,1.0,0.0218
1193,2020-03-26T11:00:00+00:00,2020-03-26T11:05:05.689000,LONG,BE_STOP,0.0,-0.0495,0.0495
1194,2020-03-27T15:03:00+00:00,2020-03-27T15:24:56.845000,LONG,TP,1.4,1.3632,0.0368
1195,2020-03-30T12:06:00+00:00,2020-03-30T12:55:22.129000,SHORT,TP,1.4,1.3686,0.0314
1196,2020-03-31T15:15:00+00:00,2020-03-31T16:11:48.971000,LONG,BE_STOP,0.0,-0.0159,0.0159
