trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
191,2015-11-02T12:12:00+00:00,2015-11-02T13:37:28.107000,SHORT,SL,-1.0,-1.018,0.018
192,2015-11-03T14:36:00+00:00,2015-11-03T15:11:50.601000,SHORT,BE_STOP,0.0,-0.0318,0.0318
193,2015-11-04T13:15:00+00:00,2015-11-04T14:21:56.975000,SHORT,TP,1.4,1.3724,0.0276
194,2015-11-05T14:57:00+00:00,2015-11-05T16:09:44.689000,SHORT,BE_STOP,0.0,-0.0198,0.0198
195,2015-11-09T14:24:00+00:00,2015-11-09T15:24:08.758000,SHORT,SL,-1.0,-1.0226,0.0226
196,2015-11-10T12:00:00+00:00,2015-11-10T12:43:04.811000,LONG,BE_STOP,0.0,-0.0476,0.0476
197,2015-11-12T14:33:00+00:00,2015-11-12T15:16:12.845000,LONG,BE_STOP,0.0,-0.0121,0.0121
198,2015-11-13T15:12:00+00:00,2015-11-13T17:19:00.680000,LONG,SL,-1.0,-1.0177,0.0177
199,2015-11-16T16:30:00+00:00,2015-11-16T16:44:59.318000,SHORT,BE_STOP,0.0,-0.0439,0.0439
200,2015-11-17T13:09:00+00:00,2015-11-17T15:43:55.460000,LONG,SL,-1.0,-1.0266,0.0266
201,2015-11-19T12:09:00+00:00,2015-11-19T12:30:51.560000,SHORT,BE_STOP,0.0,-0.0532,0.0532
202,2015-11-20T14:48:00+00:00,2015-11-20T17:34:29.050000,SHORT,TP,1.4,1.3813,0.0187
203,2015-11-23T13:00:00+00:00,2015-11-23T13:12:01.410000,LONG,BE_STOP,0.0,-0.0318,0.0318
204,2015-11-24T14:18:00+00:00,2015-11-24T16:51:26.766000,SHORT,BE_STOP,0.0,-0.0255,0.0255
205,2015-11-25T15:06:00+00:00,2015-11-25T16:51:11.343000,LONG,TP,1.4,1.378,0.022
206,2015-11-30T17:18:00+00:00,2015-11-30T19:03:35.726000,SHORT,SL,-1.0,-1.049,0.049
