str_h1_adx_min,str_m15_pullback_atr,stop_atr_multiple,str_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
16.0,0.05,0.6,0.6,-17.69376294995779,-25.54728986157783,-18.63462839085963,0.18864856195283933,-2.455618300258,-1.5268843991401737,2.731301969612792,0.0,0.1675297845555726,100000.0,94929.102733647,-5.070897266353002,5.408641172775772,-1.5641330891116,0.2834650712495671,25,11,14,0,44.0,1.5625,0.3125,-316.9310791470646,-202.83589065412133,8.2,5.0,3,4
16.0,0.15,0.6,0.6,-17.69376294995779,-25.54728986157783,-18.63462839085963,0.18864856195283933,-2.455618300258,-1.5268843991401737,2.731301969612792,0.0,0.1675297845555726,100000.0,94929.102733647,-5.070897266353002,5.408641172775772,-1.5641330891116,0.2834650712495671,25,11,14,0,44.0,1.5625,0.3125,-316.9310791470646,-202.83589065412133,8.2,5.0,3,4
16.0,0.25,0.6,0.6,-17.69376294995779,-25.54728986157783,-18.63462839085963,0.18864856195283933,-2.455618300258,-1.5268843991401737,2.731301969612792,0.0,0.1675297845555726,100000.0,94929.102733647,-5.070897266353002,5.408641172775772,-1.5641330891116,0.2834650712495671,25,11,14,0,44.0,1.5625,0.3125,-316.9310791470646,-202.83589065412133,8.2,5.0,3,4
20.0,0.05,0.6,0.6,-20.650116529585656,-29.165553848088987,-21.565767202831584,0.14571471905835526,-1.8892204341846963,-1.3815787470951988,2.4611279637729315,0.0,0.10810713753418973,100000.0,96033.84883223029,-3.966151167769716,3.9969185678406793,-1.48157665604303,0.17905024983801107,16,7,9,0,43.75,1.2307692307692308,0.3076923076923077,-305.08855136689965,-247.8844479856059,8.75,5.0,2,4
20.0,0.15,0.6,0.6,-20.650116529585656,-29.165553848088987,-21.565767202831584,0.14571471905835526,-1.8892204341846963,-1.3815787470951988,2.4611279637729315,0.0,0.10810713753418973,100000.0,96033.84883223029,-3.966151167769716,3.9969185678406793,-1.48157665604303,0.17905024983801107,16,7,9,0,43.75,1.2307692307692308,0.3076923076923077,-305.08855136689965,-247.8844479856059,8.75,5.0,2,4
20.0,0.25,0.6,0.6,-20.650116529585656,-29.165553848088987,-21.565767202831584,0.14571471905835526,-1.8892204341846963,-1.3815787470951988,2.4611279637729315,0.0,0.10810713753418973,100000.0,96033.84883223029,-3.966151167769716,3.9969185678406793,-1.48157665604303,0.17905024983801107,16,7,9,0,43.75,1.2307692307692308,0.3076923076923077,-305.08855136689965,-247.8844479856059,8.75,5.0,2,4
16.0,0.05,0.6,0.8,-33.9389396305219,-44.88172724814945,-36.19665548025143,0.17516683503312175,-2.9713600224688,-1.5881020410895208,3.483264097784047,0.0,0.1444031405109603,100000.0,93813.78498464507,-6.186215015354934,6.522909931431051,-1.6337821258403078,0.27615275440846637,25,9,16,0,36.0,1.5625,0.1875,-386.6384384596847,-247.44860061419823,9.4,5.0,2,4
16.0,0.15,0.6,0.8,-33.9389396305219,-44.88172724814945,-36.19665548025143,0.17516683503312175,-2.9713600224688,-1.5881020410895208,3.483264097784047,0.0,0.1444031405109603,100000.0,93813.78498464507,-6.186215015354934,6.522909931431051,-1.6337821258403078,0.27615275440846637,25,9,16,0,36.0,1.5625,0.1875,-386.6384384596847,-247.44860061419823,9.4,5.0,2,4
16.0,0.25,0.6,0.8,-33.9389396305219,-44.88172724814945,-36.19665548025143,0.17516683503312175,-2.9713600224688,-1.5881020410895208,3.483264097784047,0.0,0.1444031405109603,100000.0,93813.78498464507,-6.186215015354934,6.522909931431051,-1.6337821258403078,0.27615275440846637,25,9,16,0,36.0,1.5625,0.1875,-386.6384384596847,-247.44860061419823,9.4,5.0,2,4
16.0,0.05,0.8,0.6,-35.56898132557746,-48.01719228758747,-38.64131008730411,0.13811202159505154,-3.8745863853439535,-1.7889077323118858,4.428402960285951,0.0,0.11178383848925848,100000.0,92074.0091515836,-7.925990848416409,8.057884526739796,-1.8373225669141966,0.22095040553583373,25,9,16,0,36.0,1.5625,0.1875,-495.37442802602516,-317.0396339366561,12.0,10.0,2,4
16.0,0.15,0.8,0.6,-35.56898132557746,-48.01719228758747,-38.64131008730411,0.13811202159505154,-3.8745863853439535,-1.7889077323118858,4.428402960285951,0.0,0.11178383848925848,100000.0,92074.0091515836,-7.925990848416409,8.057884526739796,-1.8373225669141966,0.22095040553583373,25,9,16,0,36.0,1.5625,0.1875,-495.37442802602516,-317.0396339366561,12.0,10.0,2,4
16.0,0.25,0.8,0.6,-35.56898132557746,-48.01719228758747,-38.64131008730411,0.13811202159505154,-3.8745863853439535,-1.7889077323118858,4.428402960285951,0.0,0.11178383848925848,100000.0,92074.0091515836,-7.925990848416409,8.057884526739796,-1.8373225669141966,0.22095040553583373,25,9,16,0,36.0,1.5625,0.1875,-495.37442802602516,-317.0396339366561,12.0,10.0,2,4
20.0,0.05,0.8,0.8,-45.52006712747099,-60.08590468234149,-48.527604406180316,0.11624213887345611,-2.977137230818483,-1.5329607051622651,3.433219675033149,0.0,0.07518675590755071,100000.0,93650.59071663814,-6.349409283361862,6.595036873319449,-1.702814506965328,0.1483371390630896,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-488.41609872014334,-396.8380802101164,13.75,10.0,2,4
20.0,0.15,0.8,0.8,-45.52006712747099,-60.08590468234149,-48.527604406180316,0.11624213887345611,-2.977137230818483,-1.5329607051622651,3.433219675033149,0.0,0.07518675590755071,100000.0,93650.59071663814,-6.349409283361862,6.595036873319449,-1.702814506965328,0.1483371390630896,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-488.41609872014334,-396.8380802101164,13.75,10.0,2,4
20.0,0.25,0.8,0.8,-45.52006712747099,-60.08590468234149,-48.527604406180316,0.11624213887345611,-2.977137230818483,-1.5329607051622651,3.433219675033149,0.0,0.07518675590755071,100000.0,93650.59071663814,-6.349409283361862,6.595036873319449,-1.702814506965328,0.1483371390630896,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-488.41609872014334,-396.8380802101164,13.75,10.0,2,4
20.0,0.05,0.6,0.8,-47.03993529483444,-60.594048306848954,-49.7753337950238,0.08803053369352015,-2.679892694534902,-1.648931226856972,2.979325879918988,0.0,0.05527157765809507,100000.0,94377.90747649816,-5.6220925235018315,5.846602432673387,-1.7798930194514588,0.10744606827903112,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-432.46865565398633,-351.38078271886394,10.3125,5.0,2,4
20.0,0.15,0.6,0.8,-47.03993529483444,-60.594048306848954,-49.7753337950238,0.08803053369352015,-2.679892694534902,-1.648931226856972,2.979325879918988,0.0,0.05527157765809507,100000.0,94377.90747649816,-5.6220925235018315,5.846602432673387,-1.7798930194514588,0.10744606827903112,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-432.46865565398633,-351.38078271886394,10.3125,5.0,2,4
20.0,0.25,0.6,0.8,-47.03993529483444,-60.594048306848954,-49.7753337950238,0.08803053369352015,-2.679892694534902,-1.648931226856972,2.979325879918988,0.0,0.05527157765809507,100000.0,94377.90747649816,-5.6220925235018315,5.846602432673387,-1.7798930194514588,0.10744606827903112,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-432.46865565398633,-351.38078271886394,10.3125,5.0,2,4
20.0,0.05,0.8,0.6,-47.687983060001145,-62.11647935059511,-51.04811608302538,0.07504750146792719,-3.2744450916286585,-1.742476141913798,3.540914048409468,0.0,0.050316920153166876,100000.0,93228.33883560741,-6.771661164392584,6.89362531279774,-1.8515803073439103,0.0902903448237975,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-520.8970126455833,-423.22882277453647,13.4375,10.0,2,4
20.0,0.15,0.8,0.6,-47.687983060001145,-62.11647935059511,-51.04811608302538,0.07504750146792719,-3.2744450916286585,-1.742476141913798,3.540914048409468,0.0,0.050316920153166876,100000.0,93228.33883560741,-6.771661164392584,6.89362531279774,-1.8515803073439103,0.0902903448237975,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-520.8970126455833,-423.22882277453647,13.4375,10.0,2,4
20.0,0.25,0.8,0.6,-47.687983060001145,-62.11647935059511,-51.04811608302538,0.07504750146792719,-3.2744450916286585,-1.742476141913798,3.540914048409468,0.0,0.050316920153166876,100000.0,93228.33883560741,-6.771661164392584,6.89362531279774,-1.8515803073439103,0.0902903448237975,16,5,11,0,31.25,1.2307692307692308,0.15384615384615385,-520.8970126455833,-423.22882277453647,13.4375,10.0,2,4
16.0,0.05,0.8,0.8,-48.94920686870658,-69.19442282301307,-54.95374674449903,0.11644020159666163,-4.829166357818754,-1.9046822862360409,6.845324449553668,0.0,0.07673210502124332,100000.0,90080.0496580091,-9.919950341990901,10.16432455519162,-2.0451656753358343,0.17664059892257705,25,7,18,0,28.000000000000004,1.5625,0.0625,-619.9968963744318,-396.7980136796364,15.6,10.0,2,5
16.0,0.15,0.8,0.8,-48.94920686870658,-69.19442282301307,-54.95374674449903,0.11644020159666163,-4.829166357818754,-1.9046822862360409,6.845324449553668,0.0,0.07673210502124332,100000.0,90080.0496580091,-9.919950341990901,10.16432455519162,-2.0451656753358343,0.17664059892257705,25,7,18,0,28.000000000000004,1.5625,0.0625,-619.9968963744318,-396.7980136796364,15.6,10.0,2,5
16.0,0.25,0.8,0.8,-48.94920686870658,-69.19442282301307,-54.95374674449903,0.11644020159666163,-4.829166357818754,-1.9046822862360409,6.845324449553668,0.0,0.07673210502124332,100000.0,90080.0496580091,-9.919950341990901,10.16432455519162,-2.0451656753358343,0.17664059892257705,25,7,18,0,28.000000000000004,1.5625,0.0625,-619.9968963744318,-396.7980136796364,15.6,10.0,2,5
