context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
core_reversion|wed_thu|core|balanced|deep|short,2,2,0,100.0,inf,608.9038656297794,0.5557302096196081
core_reversion|fri|core|calm|deep|long,1,1,0,100.0,inf,350.15599703274063,0.5899104095862913
