str_h1_adx_min,str_m15_pullback_atr,stop_atr_multiple,str_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
20.0,0.05,0.6,0.8,-4.173351825605794,-3.71036259781771,-4.2355785718001835,0.32349301029768884,-0.5513480808100713,-0.6616329752094208,0.931480657562919,0.0,0.3304666326183071,100000.0,98900.78068938108,-1.0992193106189263,1.2079277983361971,-0.6576559029943911,0.43479735916852197,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-122.13547895765578,-99.92902823808195,12.727272727272727,5.0,2,2
20.0,0.15,0.6,0.8,-4.173351825605794,-3.71036259781771,-4.2355785718001835,0.32349301029768884,-0.5513480808100713,-0.6616329752094208,0.931480657562919,0.0,0.3304666326183071,100000.0,98900.78068938108,-1.0992193106189263,1.2079277983361971,-0.6576559029943911,0.43479735916852197,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-122.13547895765578,-99.92902823808195,12.727272727272727,5.0,2,2
20.0,0.25,0.6,0.8,-4.173351825605794,-3.71036259781771,-4.2355785718001835,0.32349301029768884,-0.5513480808100713,-0.6616329752094208,0.931480657562919,0.0,0.3304666326183071,100000.0,98900.78068938108,-1.0992193106189263,1.2079277983361971,-0.6576559029943911,0.43479735916852197,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-122.13547895765578,-99.92902823808195,12.727272727272727,5.0,2,2
20.0,0.05,0.8,0.6,-6.940185989224088,-6.762064238572515,-7.074835709011289,0.2606223071353324,-0.779821363278449,-0.7758271325016004,1.1451946624324336,0.0,0.2650144675202784,100000.0,98446.69523794857,-1.5533047620514218,1.6615179505669078,-0.7715398234166551,0.3518596780241368,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-172.5894180057159,-141.20952382285847,15.454545454545455,10.0,2,2
20.0,0.15,0.8,0.6,-6.940185989224088,-6.762064238572515,-7.074835709011289,0.2606223071353324,-0.779821363278449,-0.7758271325016004,1.1451946624324336,0.0,0.2650144675202784,100000.0,98446.69523794857,-1.5533047620514218,1.6615179505669078,-0.7715398234166551,0.3518596780241368,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-172.5894180057159,-141.20952382285847,15.454545454545455,10.0,2,2
20.0,0.25,0.8,0.6,-6.940185989224088,-6.762064238572515,-7.074835709011289,0.2606223071353324,-0.779821363278449,-0.7758271325016004,1.1451946624324336,0.0,0.2650144675202784,100000.0,98446.69523794857,-1.5533047620514218,1.6615179505669078,-0.7715398234166551,0.3518596780241368,11,6,5,0,54.54545454545454,1.2222222222222223,0.5555555555555556,-172.5894180057159,-141.20952382285847,15.454545454545455,10.0,2,2
20.0,0.05,0.6,0.6,-19.52718367050911,-20.829331009486953,-19.864338981009357,0.1538449396285959,-0.7816186171163364,-0.984800524381307,0.931480657562919,0.0,0.15463438089278356,100000.0,98443.11611057613,-1.5568838894238768,1.5682854957410743,-0.982929995361983,0.2209062390523516,11,5,6,0,45.45454545454545,1.2222222222222223,0.4444444444444444,-172.98709882487273,-141.53489903853222,11.363636363636363,5.0,2,2
20.0,0.15,0.6,0.6,-19.52718367050911,-20.829331009486953,-19.864338981009357,0.1538449396285959,-0.7816186171163364,-0.984800524381307,0.931480657562919,0.0,0.15463438089278356,100000.0,98443.11611057613,-1.5568838894238768,1.5682854957410743,-0.982929995361983,0.2209062390523516,11,5,6,0,45.45454545454545,1.2222222222222223,0.4444444444444444,-172.98709882487273,-141.53489903853222,11.363636363636363,5.0,2,2
20.0,0.25,0.6,0.6,-19.52718367050911,-20.829331009486953,-19.864338981009357,0.1538449396285959,-0.7816186171163364,-0.984800524381307,0.931480657562919,0.0,0.15463438089278356,100000.0,98443.11611057613,-1.5568838894238768,1.5682854957410743,-0.982929995361983,0.2209062390523516,11,5,6,0,45.45454545454545,1.2222222222222223,0.4444444444444444,-172.98709882487273,-141.53489903853222,11.363636363636363,5.0,2,2
16.0,0.05,0.6,0.8,-23.575209839443616,-23.175279268881646,-24.01958950098028,0.23191157764150394,-0.8776468033188767,-0.9565594885466978,0.9907547109939479,0.0,0.2283449314917697,100000.0,98252.35187554249,-1.7476481244575126,1.8556411799947818,-0.956339731923107,0.32548891781788386,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-158.87710222340695,-124.83200888981976,12.5,7.5,2,3
16.0,0.15,0.6,0.8,-23.575209839443616,-23.175279268881646,-24.01958950098028,0.23191157764150394,-0.8776468033188767,-0.9565594885466978,0.9907547109939479,0.0,0.2283449314917697,100000.0,98252.35187554249,-1.7476481244575126,1.8556411799947818,-0.956339731923107,0.32548891781788386,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-158.87710222340695,-124.83200888981976,12.5,7.5,2,3
16.0,0.25,0.6,0.8,-23.575209839443616,-23.175279268881646,-24.01958950098028,0.23191157764150394,-0.8776468033188767,-0.9565594885466978,0.9907547109939479,0.0,0.2283449314917697,100000.0,98252.35187554249,-1.7476481244575126,1.8556411799947818,-0.956339731923107,0.32548891781788386,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-158.87710222340695,-124.83200888981976,12.5,7.5,2,3
16.0,0.05,0.8,0.6,-25.850184546402858,-25.822759883215294,-26.508887884003308,0.18073251042044242,-1.2185764649120967,-1.087664839132703,1.2985294868340134,0.0,0.17827972218452628,100000.0,97577.67633585232,-2.4223236641476853,2.5296012875047165,-1.0855961360947,0.25757484282756904,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-220.21124219524845,-173.02311886769516,15.714285714285714,12.5,2,3
16.0,0.15,0.8,0.6,-25.850184546402858,-25.822759883215294,-26.508887884003308,0.18073251042044242,-1.2185764649120967,-1.087664839132703,1.2985294868340134,0.0,0.17827972218452628,100000.0,97577.67633585232,-2.4223236641476853,2.5296012875047165,-1.0855961360947,0.25757484282756904,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-220.21124219524845,-173.02311886769516,15.714285714285714,12.5,2,3
16.0,0.25,0.8,0.6,-25.850184546402858,-25.822759883215294,-26.508887884003308,0.18073251042044242,-1.2185764649120967,-1.087664839132703,1.2985294868340134,0.0,0.17827972218452628,100000.0,97577.67633585232,-2.4223236641476853,2.5296012875047165,-1.0855961360947,0.25757484282756904,14,6,8,0,42.857142857142854,1.2727272727272727,0.45454545454545453,-220.21124219524845,-173.02311886769516,15.714285714285714,12.5,2,3
20.0,0.05,0.8,0.8,-36.91286641777385,-22.697053351292237,-38.10346955226146,0.16506118250660937,-1.279098065647627,-1.0713260980766435,1.9050874688002806,0.0,0.14350836327145033,100000.0,97456.83196252192,-2.543168037478083,2.777866814410416,-1.0861110850515494,0.22701564092611623,11,5,6,0,45.45454545454545,1.2222222222222223,0.3333333333333333,-282.5742263864548,-231.19709431619032,22.272727272727273,20.0,2,3
20.0,0.15,0.8,0.8,-36.91286641777385,-22.697053351292237,-38.10346955226146,0.16506118250660937,-1.279098065647627,-1.0713260980766435,1.9050874688002806,0.0,0.14350836327145033,100000.0,97456.83196252192,-2.543168037478083,2.777866814410416,-1.0861110850515494,0.22701564092611623,11,5,6,0,45.45454545454545,1.2222222222222223,0.3333333333333333,-282.5742263864548,-231.19709431619032,22.272727272727273,20.0,2,3
20.0,0.25,0.8,0.8,-36.91286641777385,-22.697053351292237,-38.10346955226146,0.16506118250660937,-1.279098065647627,-1.0713260980766435,1.9050874688002806,0.0,0.14350836327145033,100000.0,97456.83196252192,-2.543168037478083,2.777866814410416,-1.0861110850515494,0.22701564092611623,11,5,6,0,45.45454545454545,1.2222222222222223,0.3333333333333333,-282.5742263864548,-231.19709431619032,22.272727272727273,20.0,2,3
16.0,0.05,0.6,0.6,-40.58473713323526,-44.27654927132053,-41.520503111590585,0.1084458698631563,-1.1246248092002142,-1.2812180181269874,1.1551537168235517,0.0,0.10722830302314545,100000.0,97763.58864388606,-2.236411356113943,2.2477485099067125,-1.2792532374477874,0.1644816573533768,14,5,9,0,35.714285714285715,1.2727272727272727,0.36363636363636365,-203.31012328308407,-159.74366829385175,11.428571428571429,7.5,2,3
16.0,0.15,0.6,0.6,-40.58473713323526,-44.27654927132053,-41.520503111590585,0.1084458698631563,-1.1246248092002142,-1.2812180181269874,1.1551537168235517,0.0,0.10722830302314545,100000.0,97763.58864388606,-2.236411356113943,2.2477485099067125,-1.2792532374477874,0.1644816573533768,14,5,9,0,35.714285714285715,1.2727272727272727,0.36363636363636365,-203.31012328308407,-159.74366829385175,11.428571428571429,7.5,2,3
16.0,0.25,0.6,0.6,-40.58473713323526,-44.27654927132053,-41.520503111590585,0.1084458698631563,-1.1246248092002142,-1.2812180181269874,1.1551537168235517,0.0,0.10722830302314545,100000.0,97763.58864388606,-2.236411356113943,2.2477485099067125,-1.2792532374477874,0.1644816573533768,14,5,9,0,35.714285714285715,1.2727272727272727,0.36363636363636365,-203.31012328308407,-159.74366829385175,11.428571428571429,7.5,2,3
16.0,0.05,0.8,0.8,-44.01658867690134,-30.421297892776835,-45.7522449231261,0.1343393505198559,-1.6922033041523954,-1.3111211032762338,2.1842566060014943,0.0,0.11244607957558428,100000.0,96642.14400206598,-3.357855997934023,3.590623971217516,-1.3284307875179056,0.18940561791570876,14,6,8,0,42.857142857142854,1.2727272727272727,0.2727272727272727,-305.25963617582073,-239.8468569952877,21.071428571428573,20.0,3,3
16.0,0.15,0.8,0.8,-44.01658867690134,-30.421297892776835,-45.7522449231261,0.1343393505198559,-1.6922033041523954,-1.3111211032762338,2.1842566060014943,0.0,0.11244607957558428,100000.0,96642.14400206598,-3.357855997934023,3.590623971217516,-1.3284307875179056,0.18940561791570876,14,6,8,0,42.857142857142854,1.2727272727272727,0.2727272727272727,-305.25963617582073,-239.8468569952877,21.071428571428573,20.0,3,3
16.0,0.25,0.8,0.8,-44.01658867690134,-30.421297892776835,-45.7522449231261,0.1343393505198559,-1.6922033041523954,-1.3111211032762338,2.1842566060014943,0.0,0.11244607957558428,100000.0,96642.14400206598,-3.357855997934023,3.590623971217516,-1.3284307875179056,0.18940561791570876,14,6,8,0,42.857142857142854,1.2727272727272727,0.2727272727272727,-305.25963617582073,-239.8468569952877,21.071428571428573,20.0,3,3
