trade_id,entry_time,side,entry_price,sl,tp,risk_pips,outcome,pnl_base,pnl_net_ftmo,commission_r,auditable_yes_no,non_auditable_reason
N/A,2018-03-01T15:30:00+00:00,SHORT,1.2185,1.2185,1.2228960000000002,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-03-02T15:33:00+00:00,SHORT,1.2319,1.2319,1.2298559999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-05T13:09:00+00:00,SHORT,1.23079,1.23079,1.2330440000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-03-06T16:00:00+00:00,SHORT,1.24063,1.24063,1.242044,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-03-07T13:33:00+00:00,SHORT,1.24214,1.2401699999999998,1.2448980000000005,19.7,TP,1.4,1.3746,0.0254,YES,NONE
N/A,2018-03-08T14:24:00+00:00,SHORT,1.23846,1.23846,1.2355059999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-09T13:09:00+00:00,SHORT,1.22897,1.22897,1.2255259999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-12T11:00:00+00:00,SHORT,1.23083,1.23083,1.2302139999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-13T14:00:00+00:00,SHORT,1.23798,1.23798,1.2436920000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-03-14T14:36:00+00:00,SHORT,1.23629,1.2347399999999995,1.23846,15.5,TP,1.4,1.3677,0.0323,YES,NONE
N/A,2018-03-15T11:00:00+00:00,SHORT,1.23562,1.23562,1.2344299999999997,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-16T14:42:00+00:00,SHORT,1.22713,1.22713,1.2242879999999998,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-19T11:00:00+00:00,SHORT,1.22901,1.22901,1.2284499999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-20T13:03:00+00:00,SHORT,1.22728,1.22728,1.2253479999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-21T15:00:00+00:00,SHORT,1.2281,1.2281,1.2261539999999995,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-22T14:06:00+00:00,SHORT,1.2324,1.2299999999999998,1.2357600000000002,24.0,TP,1.4,1.3792,0.0208,YES,NONE
N/A,2018-03-23T19:00:00+00:00,SHORT,1.23633,1.23633,1.2347899999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-26T13:06:00+00:00,SHORT,1.24082,1.24082,1.2424020000000005,0.0,TP,1.4,1.4,0.0,YES,NONE
N/A,2018-03-27T12:00:00+00:00,SHORT,1.2387,1.2387,1.2379579999999994,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-28T13:03:00+00:00,SHORT,1.23749,1.23749,1.2361039999999996,0.0,SL,-1.0,-1.0,0.0,YES,NONE
N/A,2018-03-29T14:36:00+00:00,SHORT,1.23225,1.22961,1.2359460000000004,26.4,TP,1.4,1.3811,0.0189,YES,NONE
