h1_ema_fast,h1_ema_slow,asr_h1_adx_max,asr_h1_distance_atr_max,m15_ema_period,asr_m15_extension_atr,asr_m15_rsi_long,asr_m15_rsi_short,asr_m5_reclaim_rsi_long,asr_m5_reclaim_rsi_short,stop_atr_multiple,asr_take_profit_rr_cap,asr_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,1.0,0.5,9,-5.957601343053834,-31.70456543535355,-7.954595774215143,0.18237439687821067,-13.09855911309835,-2.6236415679003366,16.030898116089098,0.0,0.1397941888667095,100000.0,79849.46675181903,-20.15053324818098,20.34318942205209,-2.4805979241140257,0.33709988026699605,93,49,44,0,52.68817204301075,3.875,0.25,-839.6055520075369,-216.67240051807406,14.946236559139784,10.0,7,4
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,1.0,0.5,6,-6.447832016876107,-30.03683820719815,-8.578215869068009,0.17339731346204726,-13.311370556078284,-2.6911551942636085,15.330823572523325,0.0,0.14441261595603294,100000.0,80453.99082366715,-19.546009176332856,19.7401903331106,-2.4423246921968103,0.3438883554498034,92,48,44,0,52.17391304347826,3.8333333333333335,0.25,-814.417049013868,-212.45662148187859,14.184782608695652,10.0,7,4
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.7,9,-7.226518489392035,-26.832246597481227,-9.639036987853327,0.18217499649018937,-13.991926757061412,-2.619421023303302,14.721217479709184,0.0,0.18105355693967856,100000.0,80264.10927497433,-19.735890725025673,19.978225660997033,-2.1908191250952984,0.43302013230977826,105,54,51,0,51.42857142857142,4.375,0.25,-822.3287802094013,-187.96086404786314,13.285714285714286,10.0,6,4
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.5,9,-7.508174365646687,-28.248753350819356,-9.99847819304837,0.16375893309272782,-13.37836057839969,-2.717365432215072,15.352218878360176,0.0,0.1482161294207868,100000.0,80604.41648703045,-19.39558351296955,19.537437793293723,-2.4110269559799984,0.35169043330921423,100,52,48,0,52.0,4.166666666666667,0.25,-808.1493130403973,-193.9558351296953,10.2,5.0,7,5
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.5,6,-9.412200558762827,-27.37796573949673,-12.771798137822412,0.15700378066294413,-13.96130163421681,-2.78282976889858,16.749412712600876,0.0,0.15052254038014182,100000.0,80852.24993635353,-19.147750063646473,19.29007212395522,-2.387567853552717,0.355331503325888,100,52,48,0,52.0,4.166666666666667,0.25,-797.8229193186007,-191.47750063646419,10.05,5.0,7,5
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,1.0,0.5,4,-10.048036673755183,-29.805422021134685,-13.357422009014506,0.15421945684136906,-13.27909351065501,-2.810585048849126,15.282993344167101,0.0,0.1427681551404603,100000.0,81032.91446245769,-18.967085537542317,19.162622234681507,-2.4142555115788866,0.3474986961175509,93,46,47,0,49.46236559139785,3.875,0.20833333333333334,-790.2952307309341,-203.94715631766041,13.118279569892474,10.0,5,5
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.5,4,-10.378061010345299,-32.09674635309172,-13.7692331401553,0.15669043558503698,-13.57553547451818,-2.8386435095867997,14.664829959873865,0.0,0.13542005981708044,100000.0,80136.72113492679,-19.86327886507321,20.004314530424367,-2.5242531485286683,0.3356537722934622,100,49,51,0,49.0,4.166666666666667,0.20833333333333334,-827.6366193780474,-198.63278865073138,9.8,5.0,7,5
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.7,6,-13.127873019778585,-32.85707534869429,-17.968527866383305,0.16108278458898673,-15.180033499119599,-2.838413615850321,16.095724676842817,0.0,0.15617697818339135,100000.0,79755.63408324486,-20.244365916755136,20.485294265204285,-2.3813258353973907,0.3774936657989286,95,46,49,0,48.421052631578945,3.9583333333333335,0.25,-843.5152465314671,-213.09858859742326,12.473684210526315,10.0,6,4
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.9,9,-13.178511452937261,-26.38934205290319,-17.834858365471035,0.20885213632538244,-13.924772137202224,-2.4802576554451026,16.48808009849158,0.0,0.21265651328485696,100000.0,80691.34651140538,-19.30865348859462,19.308653488594615,-1.9617900967331867,0.4868590127373088,106,50,56,0,47.16981132075472,4.416666666666667,0.2916666666666667,-804.5272286914342,-182.1571083829662,15.70754716981132,10.0,6,4
21,200,20.0,0.8,10,0.3,34.0,66.0,38.0,62.0,0.8,0.7,4,-15.132310318932527,-38.717970644362396,-20.615116395438676,0.1625855913878662,-14.781883108493977,-2.8474008515190863,16.09472457887206,0.0,0.15137613559602528,100000.0,79458.42282686644,-20.54157717313355,20.79403858761734,-2.444927675908139,0.36819929948567853,96,44,52,0,45.83333333333333,4.0,0.25,-855.8990488805654,-213.97476222014134,11.770833333333334,10.0,5,5
