pair,month,trades,wins,losses,breakevens,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2017-01,1,1,0,0,100.0,1.4852941176471075,742.6470588235537,1.4852941176471075,0.0,inf
EURUSD,2017-02,2,0,2,0,0.0,-1.527737899917706,-777.0121550480034,-0.763868949958853,0.770187726222761,0.0
EURUSD,2018-01,4,4,0,0,100.0,4.943903531555889,2493.0487511786414,1.2359758828889722,0.0,inf
EURUSD,2018-07,3,2,1,0,66.66666666666666,0.7544958672431147,376.7824067048564,0.25149862241437154,0.255930371355398,2.465342031742317
EURUSD,2018-08,2,0,2,0,0.0,-1.565099882491194,-796.7079138080229,-0.782549941245597,0.26687020692365226,0.0
EURUSD,2018-09,1,0,1,0,0.0,-1.0228758169934604,-521.7357716709366,-1.0228758169934604,0.0,0.0
EURUSD,2018-10,1,1,0,0,100.0,0.9661016949151903,492.6644069829935,0.9661016949151903,0.0,inf
EURUSD,2018-11,1,0,1,0,0.0,-0.32972972972982245,-169.77897579418604,-0.32972972972982245,0.0,0.0
EURUSD,2019-04,1,0,1,0,0.0,-1.028455284552839,-514.2276422764195,-1.028455284552839,0.0,0.0
EURUSD,2019-07,2,1,1,0,50.0,-0.5982277526394639,-299.20625942682096,-0.29911387631973196,0.0,0.425523981900499
EURUSD,2020-07,1,1,0,0,100.0,0.9533333333333214,476.66666666666066,0.9533333333333214,0.0,inf
EURUSD,2020-08,1,1,0,0,100.0,0.7655786350149086,386.438575667692,0.7655786350149086,0.0,inf
EURUSD,2020-09,2,2,0,0,100.0,0.4946853828932571,252.9583661612109,0.24734269144662854,0.0,inf
EURUSD,2021-02,2,0,2,0,0.0,-2.0390701489771854,-1019.4211915535027,-1.0195350744885927,0.5139353163389898,0.0
EURUSD,2021-03,1,1,0,0,100.0,0.33333333333333803,166.59143678389276,0.33333333333333803,0.0,inf
EURUSD,2021-04,6,4,2,0,66.66666666666666,0.9586338213493393,485.22021739459217,0.15977230355822322,0.9163449933451692,1.4497007359751826
EURUSD,2021-05,3,2,1,0,66.66666666666666,0.5376191568803605,281.0787441452204,0.17920638562678684,0.0,2.2330402671567198
EURUSD,2021-06,2,1,1,0,50.0,-0.6464103831359487,-342.13813654148515,-0.32320519156797434,0.0,0.3785745559686659
EURUSD,2021-07,4,4,0,0,100.0,2.8256969016680475,1430.369760073611,0.7064242254170119,0.0,inf
EURUSD,2021-08,1,0,1,0,0.0,-1.0751173708918564,-555.7251765899623,-1.0751173708918564,0.0,0.0
EURUSD,2022-01,3,2,1,0,66.66666666666666,0.141567783831948,65.58428922909525,0.04718926127731601,0.5221245151908214,1.1248726985910578
EURUSD,2022-02,1,0,1,0,0.0,-1.0200573065902565,-517.7922595965723,-1.0200573065902565,0.0,0.0
EURUSD,2022-08,4,0,4,0,0.0,-3.9006642660814155,-1948.4532839054057,-0.9751660665203539,1.1894551870912151,0.0
EURUSD,2023-01,1,1,0,0,100.0,0.9827586206897339,491.37931034486695,0.9827586206897339,0.0,inf
EURUSD,2023-03,1,1,0,0,100.0,0.09502262443424112,47.97516188165411,0.09502262443424112,0.0,inf
EURUSD,2023-04,3,3,0,0,100.0,2.0108531271825925,1029.9947219168691,0.6702843757275309,0.0,inf
EURUSD,2023-06,1,1,0,0,100.0,0.9635416666666525,501.16667185703824,0.9635416666666525,0.0,inf
EURUSD,2023-07,2,0,2,0,0.0,-0.6565819550894245,-329.20851821971513,-0.32829097754471226,0.2398710893444117,0.0
EURUSD,2023-08,1,0,1,0,0.0,-1.019718309859154,-512.9944879381162,-1.019718309859154,0.0,0.0
EURUSD,2023-09,2,0,2,0,0.0,-1.710770750988181,-861.1640226649138,-0.8553853754940905,0.5245736569063648,0.0
EURUSD,2024-01,2,2,0,0,100.0,2.9384489204240998,1478.1765468832937,1.4692244602120499,0.0,inf
EURUSD,2024-03,1,1,0,0,100.0,0.585185185185291,299.77080727295595,0.585185185185291,0.0,inf
