pair,entry_time_ny,exit_time_ny,direction,entry_side,signal_time_ny,fill_time_ny,signal_price,fill_price,entry_price,exit_price,exit_signal_price,exit_fill_price,sl,tp,spread_applied,slippage_applied,commission_applied,entry_spread_pips,exit_spread_pips,entry_slippage_pips,exit_slippage_pips,entry_commission_usd,exit_commission_usd,price_source_used,data_source_used,pnl_r,pnl_usd,result,exit_reason,forced_close_flag,intrabar_ambiguity_flag,execution_mode_used,intrabar_policy_used,cost_profile_used,entry_cost_regime,exit_cost_regime,blocked_by_news,blocking_event_name,blocking_event_time_ny,blocking_rule_used,gap_exit_flag,gap_exit_type,date
EURUSD,2021-04-30 16:00:00,2021-05-02 18:45:00,long,,2021-04-30 16:00:00,2021-04-30 16:00:00,1.202285,1.2024499999999998,1.2024499999999998,1.20266,1.2027,1.20266,1.201565,1.2038424999999993,0.0,0.4,0.0,1.2,0.0,0.2,0.4,19.782546780482992,19.782546780482992,bid,prepared_m5_bid,0.1912568306014297,98.91273390256504,win,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2021-04-30
EURUSD,2021-05-03 11:15:00,2021-05-03 18:45:00,short,,2021-05-03 11:15:00,2021-05-03 11:15:00,1.20669,1.20665,1.20665,1.2061350000000002,1.205945,1.2061350000000002,1.20771,1.2045874999999995,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,14.50628146486157,14.50628146486157,bid,prepared_m5_bid,-0.438247011951969,-227.95585159060767,loss,forced_session_close,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2021-05-03
EURUSD,2021-05-07 11:00:00,2021-05-07 11:15:00,short,,2021-05-07 11:00:00,2021-05-07 11:00:00,1.21413,1.214095,1.214095,1.215335,1.215155,1.215335,1.215155,1.2120324999999996,0.0,0.30000000000000004,0.0,1.5,0.0,0.30000000000000004,0.30000000000000004,14.545003411401256,14.545003411401256,bid,prepared_m5_bid,0.9601593625497297,500.7636888782972,win,stop_loss,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2021-05-07
EURUSD,2021-05-12 13:15:00,2021-05-12 18:45:00,long,,2021-05-12 13:15:00,2021-05-12 13:15:00,1.20719,1.207375,1.207375,1.207425,1.207465,1.207425,1.2064650000000001,1.2088375000000002,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,19.29878266772189,19.29878266772189,bid,prepared_m5_bid,0.01570680628259985,8.270906857530843,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2021-05-12
EURUSD,2021-06-03 12:15:00,2021-06-03 12:30:00,long,,2021-06-03 12:15:00,2021-06-03 12:15:00,1.212615,1.2127499999999998,1.2127499999999998,1.211885,1.211915,1.211885,1.211915,1.2140674999999992,0.0,0.30000000000000004,0.0,1.2,0.0,0.2,0.30000000000000004,21.411051163761602,21.411051163761602,bid,prepared_m5_bid,-1.0404624277456802,-550.5698870679546,loss,stop_loss,False,False,normal_mode,standard,base,base|opening|normal_vol|entry,base,False,,,,False,no_gap,2021-06-03
EURUSD,2021-06-21 11:00:00,2021-06-21 18:45:00,short,,2021-06-21 11:00:00,2021-06-21 11:00:00,1.191065,1.191015,1.191015,1.19158,1.19139,1.19158,1.192165,1.1888174999999996,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,13.764360883819592,13.764360883819592,bid,prepared_m5_bid,0.3940520446097316,208.43175052646944,win,forced_session_close,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2021-06-21
EURUSD,2021-07-09 11:00:00,2021-07-09 14:00:00,short,,2021-07-09 11:00:00,2021-07-09 11:00:00,1.18644,1.186405,1.186405,1.1877900000000001,1.187595,1.1877900000000001,1.187595,1.1841474999999997,0.0,0.45000000000000007,0.0,1.5,0.0,0.30000000000000004,0.45000000000000007,12.635379061370093,12.635379061370093,bid,prepared_m5_bid,0.97472924187726,487.36462093862997,win,stop_loss,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2021-07-09
EURUSD,2021-07-14 16:00:00,2021-07-14 18:45:00,short,,2021-07-14 16:00:00,2021-07-14 16:00:00,1.183505,1.18347,1.18347,1.18376,1.1836,1.18376,1.18398,1.1823400000000004,0.0,0.4,0.0,1.2,0.0,0.2,0.4,26.773602450502512,26.773602450502512,bid,prepared_m5_bid,0.38636363636355553,195.06481785358574,win,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2021-07-14
EURUSD,2021-07-15 13:30:00,2021-07-15 18:45:00,long,,2021-07-15 13:30:00,2021-07-15 13:30:00,1.180505,1.1806800000000002,1.1806800000000002,1.18134,1.18138,1.18134,1.179535,1.1824950000000005,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,14.948219721098338,14.948219721098338,bid,prepared_m5_bid,0.5252100840334063,266.9324950195632,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2021-07-15
EURUSD,2021-07-29 14:45:00,2021-07-29 15:00:00,short,,2021-07-29 14:45:00,2021-07-29 14:45:00,1.188615,1.18858,1.18858,1.18939,1.1892099999999999,1.18939,1.1892099999999999,1.1871624999999997,0.0,0.30000000000000004,0.0,1.5,0.0,0.30000000000000004,0.30000000000000004,21.722934089244664,21.722934089244664,bid,prepared_m5_bid,0.9393939393938259,481.00782626183207,win,stop_loss,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2021-07-29
EURUSD,2021-08-17 13:15:00,2021-08-17 18:00:00,long,,2021-08-17 13:15:00,2021-08-17 13:15:00,1.17161,1.1717650000000002,1.1717650000000002,1.170655,1.170745,1.170655,1.170745,1.1733925000000005,0.0,0.9000000000000001,0.0,1.5,0.0,0.30000000000000004,0.9000000000000001,16.987232472179784,16.987232472179784,bid,prepared_m5_bid,-1.0751173708918564,-555.7251765899623,loss,stop_loss,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2021-08-17
EURUSD,2022-01-11 14:30:00,2022-01-11 18:45:00,short,,2022-01-11 14:30:00,2022-01-11 14:30:00,1.136475,1.13645,1.13645,1.1367950000000002,1.136605,1.1367950000000002,1.13764,1.1341924999999995,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,12.635379061370093,12.635379061370093,bid,prepared_m5_bid,0.2238267148016021,111.91335740080105,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2022-01-11
EURUSD,2022-01-12 13:15:00,2022-01-12 14:15:00,short,,2022-01-12 13:15:00,2022-01-12 13:15:00,1.144045,1.14402,1.14402,1.14475,1.1446,1.14475,1.1446,1.1427850000000004,0.0,0.30000000000000004,0.0,1.2,0.0,0.2,0.30000000000000004,24.116265268783394,24.116265268783394,bid,prepared_m5_bid,0.9520547945205413,478.88012462291385,win,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2022-01-12
EURUSD,2022-01-18 13:45:00,2022-01-18 15:45:00,long,,2022-01-18 13:45:00,2022-01-18 13:45:00,1.132635,1.13279,1.13279,1.13177,1.131815,1.13177,1.131815,1.13435,0.0,0.45000000000000007,0.0,1.5,0.0,0.30000000000000004,0.45000000000000007,17.424001656693196,17.424001656693196,bid,prepared_m5_bid,-1.0343137254901955,-525.2091927946196,loss,stop_loss,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2022-01-18
EURUSD,2022-02-14 11:00:00,2022-02-14 14:15:00,long,,2022-02-14 11:00:00,2022-02-14 11:00:00,1.130595,1.130765,1.130765,1.12902,1.129065,1.12902,1.129065,1.1334125000000002,0.0,0.45000000000000007,0.0,1.5,0.0,0.30000000000000004,0.45000000000000007,10.181308475212887,10.181308475212887,bid,prepared_m5_bid,-1.0200573065902565,-517.7922595965723,loss,stop_loss,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2022-02-14
