train_period,test_period,params_used,trades,win_rate,pnl_r,pnl_usd,max_drawdown_pct,profit_factor
2015-01-01->2016-12-31,2017-01-01->2017-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",3,33.33333333333333,-0.04244378227059853,-34.365096224449644,0.2735849056602744,0.9557727688026623
2015-07-01->2017-06-30,2017-07-01->2017-12-31,"{""target_rr"": 2.1, ""break_even_at_r"": 1.2, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",0,0.0,0.0,0.0,0.0,0.0
2016-01-01->2017-12-31,2018-01-01->2018-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",4,100.0,4.943903531555889,2493.0487511786414,0.013461538461531744,inf
2016-07-01->2018-06-30,2018-07-01->2018-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",8,37.5,-1.1971078670561721,-618.7758475852957,0.052933607520552685,0.6454721725771623
2017-01-01->2018-12-31,2019-01-01->2019-06-30,"{""target_rr"": 2.1, ""break_even_at_r"": 1.2, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",1,0.0,-1.028455284552839,-514.2276422764195,0.028455284552852393,0.0
2017-07-01->2019-06-30,2019-07-01->2019-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",2,50.0,-0.5982277526394639,-299.20625942682096,0.0574971719456953,0.425523981900499
2018-01-01->2019-12-31,2020-01-01->2020-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",0,0.0,0.0,0.0,0.0,0.0
2018-07-01->2020-06-30,2020-07-01->2020-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",4,100.0,2.213597351241487,1116.0636084955636,0.012195121951224939,inf
2019-01-01->2020-12-31,2021-01-01->2021-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",14,57.14285714285714,-0.8558942205500963,-428.66892977128265,0.4506978024144339,0.8509978742476425
2019-07-01->2021-06-30,2021-07-01->2021-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",5,80.0,1.750579530776191,874.6445834836486,0.053990610328558966,2.573879716680532
2020-01-01->2021-12-31,2022-01-01->2022-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",4,50.0,-0.8784895227583085,-452.20797036747706,0.054364149671311146,0.5664359149925036
2020-07-01->2022-06-30,2022-07-01->2022-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",4,0.0,-3.9006642660814155,-1948.4532839054057,0.316785686620904,0.0
2021-01-01->2022-12-31,2023-01-01->2023-06-30,"{""target_rr"": 2.0, ""break_even_at_r"": 1.0, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",6,100.0,4.0521760389732195,2070.5158660004286,0.02287581699346672,inf
2021-07-01->2023-06-30,2023-07-01->2023-12-31,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",5,0.0,-3.3870710159367596,-1703.3670288227454,0.05153021766965791,0.0
2022-01-01->2023-12-31,2024-01-01->2024-06-30,"{""target_rr"": 1.5, ""break_even_at_r"": null, ""exhaustion_mult"": 1.5, ""session_name"": ""light_fixed""}",3,100.0,3.523634105609391,1777.9473541562497,0.025925925925932795,inf
